gender,n,adaptation_magnitude_r,adaptation_magnitude_p,mean_adaptation,sd_adaptation
male,27,-0.26582023481215483,0.1801989153032131,8.698623703933903,111.84689531678005
female,45,-0.12519910007935148,0.41252467131399534,16.279115395260153,104.79340998741671
