term,coef,se,t,p
Intercept,15.546774703731565,16.30363907259806,0.9535769673570255,0.34388562641777787
C(gender_male)[T.1],-5.396942746238572,26.702412180370036,-0.20211442733275128,0.8404683676846755
z_ucla_total,-9.008750443524008,21.21986211080434,-0.42454330742032004,0.672593442065357
z_ucla_total:C(gender_male)[T.1],-17.16867176256595,27.872355200148565,-0.615974919926194,0.5400957134757649
z_age,-8.81907454333274,13.243971621054602,-0.6658934944645016,0.5078722558214779
z_dass_depression,-13.219600636519703,20.590118898003407,-0.6420361486014337,0.5231428294522875
z_dass_anxiety,9.372962304428652,19.437959084536246,0.48219889051445003,0.6313097210341891
z_dass_stress,1.2473112013396275,19.66892987524029,0.06341530572589879,0.9496334492514942
