gender,condition,parameter,n,r,p,mean,sd
male,congruent,mu,65,0.03359586394837387,0.7904872349134314,602.5926475970758,138.33113032436157
male,congruent,sigma,65,-0.07444559586690022,0.5556113941813334,101.48555362016687,49.48522379219785
male,congruent,tau,65,-0.0425599195093536,0.7364005057892613,223.8995273263461,101.84965801453478
male,incongruent,mu,65,0.007578102994636252,0.9522257349948408,675.0288748151111,216.96451207501445
male,incongruent,sigma,65,0.02347874642396086,0.852723648200638,129.58654724023066,98.61007641165715
male,incongruent,tau,65,0.0439864293037438,0.7279021966494873,257.2112549315555,128.32304077860417
female,congruent,mu,106,-0.12004915786416986,0.2202870171502509,680.7691399256105,128.38186352876738
female,congruent,sigma,106,-0.06569125703652476,0.5034719746406622,128.15986320900927,54.5959498310446
female,congruent,tau,106,0.09960823536304836,0.3096774632342157,190.96485718496822,74.01439078666098
female,incongruent,mu,106,-0.1376533178392279,0.15938829397935808,771.1347447625257,192.89288328038796
female,incongruent,sigma,106,-0.07455528812565632,0.44752341878651014,160.68113576023907,89.35910834062587
female,incongruent,tau,106,0.06624558767332192,0.4998696556928066,228.41594232712393,136.60206370160662
