node_i,node_j,weight_male,weight_female,weight_diff,abs_diff,node_i_label,node_j_label,community_i,community_j
pe_rate,prp_bottleneck,0.1539278560963842,0.07751654153034536,0.07641131456603885,0.07641131456603885,WCST PE Rate,PRP Bottleneck (ms),Executive,Executive
pe_rate,stroop_interference,0.05688511553061634,0.04259492283699655,0.014290192693619794,0.014290192693619794,WCST PE Rate,Stroop Interference,Executive,Executive
stroop_interference,prp_bottleneck,0.21829366184027726,0.020732952918406426,0.19756070892187083,0.19756070892187083,Stroop Interference,PRP Bottleneck (ms),Executive,Executive
z_dass_anx,pe_rate,0.0,-0.001182134777128208,0.001182134777128208,0.001182134777128208,DASS Anxiety,WCST PE Rate,Affect,Executive
z_dass_anx,prp_bottleneck,0.0,0.03293372545535209,-0.03293372545535209,0.03293372545535209,DASS Anxiety,PRP Bottleneck (ms),Affect,Executive
z_dass_anx,z_dass_str,0.37223580279026114,0.44958737856506326,-0.07735157577480212,0.07735157577480212,DASS Anxiety,DASS Stress,Affect,Affect
z_dass_dep,pe_rate,0.02901623058284655,-0.15568716611809966,0.1847033967009462,0.1847033967009462,DASS Depression,WCST PE Rate,Affect,Executive
z_dass_dep,stroop_interference,-0.13557581466445567,0.0,-0.13557581466445567,0.13557581466445567,DASS Depression,Stroop Interference,Affect,Executive
z_dass_dep,z_dass_anx,0.26277204414944744,0.29809100093167723,-0.03531895678222979,0.03531895678222979,DASS Depression,DASS Anxiety,Affect,Affect
z_dass_dep,z_dass_str,0.3723470453229006,0.2704194706608958,0.1019275746620048,0.1019275746620048,DASS Depression,DASS Stress,Affect,Affect
z_dass_str,pe_rate,0.0,0.024050188814575456,-0.024050188814575456,0.024050188814575456,DASS Stress,WCST PE Rate,Affect,Executive
z_dass_str,prp_bottleneck,0.08404153802204162,-0.13117214404248118,0.2152136820645228,0.2152136820645228,DASS Stress,PRP Bottleneck (ms),Affect,Executive
z_dass_str,stroop_interference,0.06604709890361919,-0.03436502500786292,0.1004121239114821,0.1004121239114821,DASS Stress,Stroop Interference,Affect,Executive
z_ucla,pe_rate,-0.11013223549378329,0.0,-0.11013223549378329,0.11013223549378329,UCLA Loneliness,WCST PE Rate,Affect,Executive
z_ucla,prp_bottleneck,0.09286408905747214,0.03481710081994023,0.058046988237531905,0.058046988237531905,UCLA Loneliness,PRP Bottleneck (ms),Affect,Executive
z_ucla,stroop_interference,0.05953706921061246,0.019026985087458273,0.04051008412315419,0.04051008412315419,UCLA Loneliness,Stroop Interference,Affect,Executive
z_ucla,z_dass_anx,0.03619821293107229,0.13511620689769854,-0.09891799396662626,0.09891799396662626,UCLA Loneliness,DASS Anxiety,Affect,Affect
z_ucla,z_dass_dep,0.3817563564943294,0.3957907490563426,-0.01403439256201322,0.01403439256201322,UCLA Loneliness,DASS Depression,Affect,Affect
z_ucla,z_dass_str,0.18979053804939727,0.009016144019699518,0.18077439402969775,0.18077439402969775,UCLA Loneliness,DASS Stress,Affect,Affect
