participant_id,prp_intercept,prp_slope,prp_slope_p,prp_residual_sd,prp_raw_cv,prp_n_trials,prp_r_squared,stroop_intercept,stroop_slope,stroop_slope_p,stroop_residual_sd,stroop_raw_cv,stroop_n_trials,stroop_r_squared,wcst_intercept,wcst_slope,wcst_slope_p,wcst_residual_sd,wcst_raw_cv,wcst_n_trials,wcst_r_squared
7QYZfcjgZHcVB941oHiLGGPTk7U2,,,,,,,,,,,,,,,,,,,,,
GE4hogtdLdTFbNasENgtm6SO3hC3,880.5707742277715,-22.469164297744108,0.8516108170593439,376.7317817780267,0.4296277079506259,117.0,0.0003055640411897193,1348.5066669358696,-296.2482266266153,0.019069865041082285,369.8648347673527,0.3142777374259742,104.0,0.05269771236414391,2296.01040385776,-983.0446883137807,0.00041645479780508693,633.6534503503032,0.3809326640428147,67.0,0.175600520832281
ORvIk1xRWIQmKuLVe6GXNouvAXx2,858.4063357374633,204.54958687405755,0.23269509666589974,508.81994547882545,0.5284140468338482,107.0,0.013537080828845409,959.4013531593141,11.896050247319048,0.920749470171907,352.1869563471717,0.36133311608645186,104.0,9.751326259615532e-05,2078.6342760905904,-113.90639350201467,0.7062943561080354,847.9785655361196,0.41531007581756146,91.0,0.0016032799558014991
80UJMJbCOMgs6YVpsMgXfYTzw6o2,968.8932314768539,-309.8199667535578,0.0007564507728330716,280.10941083188095,0.35868177312381505,115.0,0.09592328096328544,846.7665817194445,-199.75723751268004,0.00018182107873325484,155.89530178116178,0.2209802902137353,108.0,0.12435078215336194,1765.3068322982658,-892.8726270671609,9.743043732483404e-05,520.6399501827285,0.4375127385800388,70.0,0.20143448812864853
rUuJv5gl7dWVo7UPQWMx4bohxhK2,1922.3167844311006,-500.79284411281134,0.04225515401422446,631.6234429629177,0.38767235795588034,95.0,0.04361292423781955,1317.200227655026,-15.286448303262164,0.9211395114773642,464.43176590882814,0.3512525196966296,105.0,9.561077978998192e-05,2185.156950241756,-648.7001306381577,0.06060371473614387,905.2535238967286,0.49192163644753073,86.0,0.04128693795115325
xyAILKfYP2M8GqAai11x6NT7IcP2,1092.7524765248554,85.92150695632394,0.6023869074177521,520.4910935066958,0.45506963138757217,119.0,0.0023269721362366696,970.673751274124,21.285830785054223,0.84635719493966,331.8083330935454,0.33503983643566226,108.0,0.0003558208878572225,1452.3062463485342,-182.2017526777395,0.5598792031651528,788.3181960438731,0.5739866606579128,79.0,0.004433350561291531
pcbRW89vVJcviD87V3uxyG4I9st2,794.6337358779645,-85.4387635782806,0.45581160252069663,348.27498791683655,0.4599146571902299,114.0,0.004975503265458516,826.9195821010823,-352.22170665893367,6.509077919143514e-10,155.65804895100047,0.28490494600077526,107.0,0.30589657616156224,1594.028262233876,-550.1051022344785,0.09942425472910467,811.8239488396351,0.6188560404731973,69.0,0.03999921903187374
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,1397.2114600902746,-189.2395868790051,0.2055273246126785,474.03402667262776,0.36334012953556133,120.0,0.013546834377769327,1376.8536196534333,-495.8807495987725,0.0001866216268932441,387.5871936440306,0.3636042538145521,107.0,0.1250525410287711,2398.4798854418227,-1393.7937507659647,2.7151203900615127e-05,864.3148171459711,0.5633248391357633,93.0,0.1767850137585422
yatBVTBMCSMp0wJluOCLzTFKMyP2,1114.9907830111279,542.2686722465633,0.00390025227245994,563.7983537320911,0.41918051592416083,99.0,0.08269343994112364,934.9850492689333,45.43730886905783,0.539605879882131,223.55979888614354,0.2316744038895351,108.0,0.0035601494919842115,2063.8412962400917,-1023.3048430850383,0.0009475867137311367,801.2046344477031,0.5460792640606844,87.0,0.12129529404101216
u64Uf920g5VD9Byq26LT2rs5o4t1,936.2163911732188,-382.3211156839431,7.241564436179082e-05,296.36808351192514,0.4217859869133908,120.0,0.12541566924755043,811.340231061245,-139.39342507993405,0.017799047985117163,175.32898769114024,0.2405238036642461,108.0,0.051836958942796364,1326.6431999456995,118.43516483968432,0.5695013496242858,608.1390801874294,0.4349533093424521,105.0,0.0031512516213472136
nT1qJOiMyDdJ9ui4el195A8Hsgs1,1072.3699632022347,217.4712855567612,0.13078453419554112,443.16513382497897,0.37494465307545766,114.0,0.020268256227975786,1092.8965171598634,-204.7911824630184,0.009571156971377929,234.98014093378234,0.24262414393806594,108.0,0.06164618107584324,1651.6706529241014,-104.97748180490198,0.6503540537927757,568.5868969270123,0.3510337641784832,70.0,0.0030390471183638435
