participant_id,short_mu,short_sigma,short_tau,short_n,medium_mu,medium_sigma,medium_tau,medium_n,long_mu,long_sigma,long_tau,long_n,overall_mu,overall_sigma,overall_tau,mu_bottleneck,sigma_bottleneck,tau_bottleneck
0d841i8KPjdjwCYfDuUUXj0SEjH2,597.8297876487328,42.915745739499734,486.04858807502904,48.0,386.22404171598913,5.0,591.1702867578138,48.0,312.08202401670553,24.67981460429375,209.0782357165862,24.0,393.1464424963348,83.21629551681288,535.5937185738061,285.7477636320273,18.235931135205984,276.9703523584428
0oa5NYVnIBS9NmrmRAZrahXDctP2,415.4250813861389,5.0,431.47528763836783,48.0,339.66203164983926,46.40174586587811,278.0851386866709,48.0,410.5784885784353,73.43789147337891,99.54495985540608,24.0,368.03752153797535,60.20819875447362,319.8556186336174,4.846592807703587,-68.43789147337891,331.93032778296174
146QT9LupyU2BAiTsB3PMIpVXM22,506.8913166752413,66.20792428869716,485.5464256572431,48.0,358.65947408979696,31.803601652244947,329.87339267604875,47.0,350.0978441506862,79.51930459637309,176.35366908444453,24.0,364.9548480109533,64.95232007304415,413.4698357792756,156.79347252455506,-13.311380307675932,309.19275657279854
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,819.4679592232676,166.92037977290968,198.57574384851054,48.0,492.68165507578186,121.39389622241188,299.0446070834673,48.0,275.4557270185283,5.0,316.4194406075812,24.0,554.4817903380633,191.7869532808347,287.7934601853764,544.0122322047393,161.92037977290968,-117.84369675907064
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,1312.1876655459628,268.4166762168291,361.0614417509887,48.0,1398.014117057972,386.5221250136061,6.757887416972711,48.0,584.2282137326463,79.1341036076049,304.0526404682655,24.0,1144.903836334835,412.9245253763026,263.9590010871182,727.9594518133165,189.2825726092242,57.0088012827232
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,1168.1826483036782,154.4284401755236,371.3764807823185,47.0,911.3932075764643,332.28193840406374,536.7274033480703,48.0,491.3781876568314,5.0,447.23995835599914,24.0,943.8294019410515,350.10228238350317,437.59943253045554,676.8044606468468,149.4284401755236,-75.86347757368065
23AEyocWhqY955WHbxhHRSgQ1ms2,499.57727871933696,81.15702179966864,490.31722785238856,47.0,353.49958702301313,93.95722012917558,365.2163215453453,47.0,213.96797515583424,5.0,425.2399744101005,24.0,372.884242424457,95.23929996876201,437.59638547205003,285.60930356350275,76.15702179966864,65.07725344228805
2h5FgHUEvBS1twD5DqbTIRrMm1f2,925.2717806489588,240.12624170672643,157.4690541605735,47.0,380.3621771772733,5.0,476.1522918429531,48.0,234.83891825165273,5.0,288.32184208843086,24.0,372.62048700616276,95.18736040951391,506.01645829973467,690.432862397306,235.12624170672643,-130.85278792785735
2zDXvJKvjeejeOSNbtDbtSI5cdz1,1220.3911920464602,236.06776811526683,178.10488200125,48.0,607.8918445229359,44.81207500139812,416.64863506022755,48.0,543.4191778579916,80.61781068049115,150.74959975459728,24.0,798.6852063321145,287.92757923030274,309.3961032566979,676.9720141884686,155.44995743477568,27.355282246652706
3WijiOiVCoMbn80F05SPYsxl0TC2,815.7271053398055,89.300410647071,274.89867585339897,48.0,575.761546203565,92.55843231031386,208.84699620311622,48.0,360.383435903621,69.7732906997836,203.71802932200688,24.0,587.3097119113866,181.7727967856349,275.60853752995575,455.3436694361845,19.527119947287403,71.18064653139209
