variable_1,variable_2,r,p_value,significant,n
UCLA Loneliness,DASS Depression,0.6766083461206674,1.829438414958317e-29,True,210
UCLA Loneliness,DASS Anxiety,0.49680659483401723,1.7288834444011114e-14,True,210
UCLA Loneliness,DASS Stress,0.5496994459786769,5.5924775966877e-18,True,210
DASS Depression,DASS Anxiety,0.661896177638935,7.638285263517466e-28,True,210
DASS Depression,DASS Stress,0.6708333252554601,8.120346286709385e-29,True,210
DASS Anxiety,DASS Stress,0.7408264519523017,8.375017120357029e-38,True,210
