,Factor1,Factor2,communality
q1,0.43326650756738894,0.24062502975944883,0.24562027152637794
q2,0.5224034653158376,-0.058472773873708674,0.2763244458584814
q3,0.5485602391684087,-0.10045429979561478,0.311009402343929
q4,0.6757132065571669,-0.28266139657083506,0.5364858026271434
q5,0.5815778391532842,0.21490876004784149,0.38441855813950404
q6,0.42688604898608445,0.18756385491047275,0.21741189848782655
q7,0.6467080058518351,-0.053529107591446766,0.42109661019239386
q8,0.6150909396352195,-0.08504908751685572,0.3855702113087871
q9,0.3475417770395555,0.24210990168943336,0.17940249128387922
q10,0.5356081448309589,0.26496154281189355,0.3570807039785203
q11,0.6410272672383218,-0.3127097059792211,0.5087033175566418
q12,0.6013386699495645,-0.14173872883052585,0.3816980632272046
q13,0.6925308793272406,-0.19102306599668767,0.5160888305645359
q14,0.6433883825686896,-0.26006656126755273,0.48158322711388424
q15,0.5162023993041776,0.10863739577375532,0.27826700080789313
q16,0.5198946580998947,0.08878177012147408,0.27817265822670867
q17,0.2767694620913174,-0.071337401701929,0.08169036002789958
q18,0.5467733474537635,-0.1555449155132858,0.32315531422782917
q19,0.5375302452718023,0.14724104780928668,0.31061869074194054
q20,0.4927593939888975,0.16615686059553703,0.2704199226872702
