가설,주장 값,실제 값,재현
WCST PE × Gender 상호작용,"β=2.59, p=0.004","β=0.98, p=0.173",❌
WCST 남성 기울기,"β=2.29, p=0.067","β=0.61, p=0.383",❌
WCST 여성 기울기,"β=-0.30, p=0.720","β=-0.37, p=0.588",❌
DASS Low Anxiety 조절효과,"β=4.28, p=0.008","β=0.58, p=0.647",❌
