mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,term,model
-0.251,0.003,-0.256,-0.246,0.0,0.0,11410.523,8906.502,1.001,soa,prp_logt2rt
0.009,0.027,-0.04,0.061,0.001,0.001,370.497,624.15,1.005,ucla,prp_logt2rt
-0.028,0.029,-0.082,0.027,0.001,0.001,548.572,1196.821,1.004,dass_dep,prp_logt2rt
-0.033,0.029,-0.086,0.024,0.001,0.001,428.813,851.571,1.015,dass_anx,prp_logt2rt
0.071,0.03,0.016,0.127,0.001,0.001,418.095,930.269,1.007,dass_stress,prp_logt2rt
-0.001,0.003,-0.006,0.004,0.0,0.0,12963.544,9099.642,1.0,ucla:soa,prp_logt2rt
