n_trials,n_participants,re_formula,method,converged,fit_note,warning_count,boundary_warning,warning_msg,llf,aic,bic,trial_scaled_beta,trial_scaled_se,trial_scaled_z,trial_scaled_p,cond_beta,cond_se,cond_z,cond_p,interference_time_beta,interference_time_se,interference_time_z,interference_time_p,ucla_beta,ucla_se,ucla_z,ucla_p,interference_time_x_ucla_beta,interference_time_x_ucla_se,interference_time_x_ucla_z,interference_time_x_ucla_p
14986,212,1 + trial_scaled + cond_code,lbfgs,True,,1,True,The MLE may be on the boundary of the parameter space.,-2989.944905890923,6019.889811781846,6172.1872460003315,-0.1473652520611609,0.012433578816580677,-11.852199132291938,2.0961656334842306e-32,0.133435742801178,0.010446000025218435,12.773860087980207,2.2948513428435345e-37,0.0056645823060007105,0.016009598711573717,0.3538241281404293,0.7234706900643759,0.011013696397754267,0.018267653433825394,0.6029070147214803,0.5465705491866548,0.05106229820985824,0.01611921847838152,3.1677899445522777,0.0015360245844233274
14986,212,1 + trial_scaled,lbfgs,True,,0,False,,-3029.464137136689,6092.928274273378,6222.38109335909,-0.14618678216629316,0.01241062988675936,-11.779158954877605,4.998936495924184e-32,0.1332151622328373,0.009335752653272777,14.269354296371262,3.3970940417750765e-46,0.005548019313980992,0.016109907407526207,0.3443855494407792,0.7305563548653105,0.012909403527837201,0.018449316024097485,0.6997226081972712,0.48410055462671453,0.05089680936999309,0.01621586858904366,3.1387038622391032,0.0016969684919568343
14986,212,1,lbfgs,True,,2,True,The MLE may be on the boundary of the parameter space. | The Hessian matrix at the estimated parameter values is not positive definite.,inf,-inf,-inf,-0.1463756928869663,0.008022348794333065,-18.245989627173174,2.226676136368694e-74,0.13341724870014243,0.009334084363287387,14.293555051301677,2.4003631845717417e-46,0.005536988052290315,0.01611330795620638,0.3436282647448333,0.7311258655347339,0.0012467453782409022,858960.9035028373,1.451457654424878e-09,0.9999999988419044,0.05043175318989942,0.016209460336552673,3.1112543010562024,0.0018629443167137326
