ef_outcome,n,model1,model2,model3,model4,ucla_beta,ucla_p,gender_beta,gender_p,interaction_beta,interaction_p,r2_final,delta_r2_interaction,ucla_beta_mean,ucla_beta_ci_lower,ucla_beta_ci_upper,interaction_beta_mean,interaction_beta_ci_lower,interaction_beta_ci_upper
wcst_pe_rate,234,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x000002121DA53E00>,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x000002121DA46D50>,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x000002121DA47250>,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x000002121DA91220>,-0.004377218627666294,0.956975516619583,0.03411135907011691,0.8013450957556302,-0.066582955075181,0.6221269291681918,0.002142368080769619,0.0010566309068588131,-0.004337946247767801,-0.008953158332331922,0.0004986055215566945,-0.0620940178355435,-0.6188505626539308,0.5036093093597923
prp_bottleneck,234,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x000002121DBDEED0>,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x000002122DBE1670>,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x000002122DBE27B0>,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x000002122DBE3830>,0.10820687680289043,0.18702157082140547,-0.017782414761288196,0.8949346387935265,-0.10990535664025418,0.41070373749857036,0.007664027399613027,0.0029305668863807144,0.10678894665350988,-0.0002577434281734116,0.25386335711411917,-0.10853562929205304,-0.2651842273767215,0.021519454270602124
stroop_interference,240,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x000002121DB3E9F0>,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x000002122BCA9670>,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x000002122BCAB710>,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x000002122BCABE30>,0.018643011534382636,0.817116484085849,0.18582249895551972,0.15895066812128028,-0.2665708861011891,0.0437716242374431,0.031941046062048395,0.01685622774481288,0.019466041960676864,-0.0012480951986249002,0.06887885640478668,-0.2610176801629944,-0.66627938655896,0.03589376125828272
