participant_id,stroop_interference,stroop_interference_predicted,stroop_interference_deviation,stroop_interference_deviation_z
GE4hogtdLdTFbNasENgtm6SO3hC3,197.4541269799072,197.42219931146565,0.031927668441539936,0.0018754525516696155
GE4hogtdLdTFbNasENgtm6SO3hC3,197.4541269799072,197.43737317912684,0.016753800780350048,0.0009841294387407011
GE4hogtdLdTFbNasENgtm6SO3hC3,197.4541269799072,197.42219931146565,0.031927668441539936,0.0018754525516696155
ORvIk1xRWIQmKuLVe6GXNouvAXx2,311.75000001324554,311.69843918273705,0.05156083050849247,0.0030287175939707526
ORvIk1xRWIQmKuLVe6GXNouvAXx2,311.75000001324554,311.70948840997045,0.04051160327509251,0.002379678612411538
ORvIk1xRWIQmKuLVe6GXNouvAXx2,311.75000001324554,311.6983312647735,0.05166874847202507,0.0030350567671693467
80UJMJbCOMgs6YVpsMgXfYTzw6o2,74.12777777787096,74.14549575596988,-0.017717978098914955,-0.0010407658578915544
80UJMJbCOMgs6YVpsMgXfYTzw6o2,74.12777777787096,74.1569720180357,-0.029194240164741814,-0.0017148891504956943
80UJMJbCOMgs6YVpsMgXfYTzw6o2,74.12777777787096,74.1569720180357,-0.029194240164741814,-0.0017148891504956943
rUuJv5gl7dWVo7UPQWMx4bohxhK2,380.4592857142859,380.38323386677075,0.07605184751514571,0.004467336277393048
rUuJv5gl7dWVo7UPQWMx4bohxhK2,380.4592857142859,380.4215678051146,0.03771790917130602,0.0022155751563410066
rUuJv5gl7dWVo7UPQWMx4bohxhK2,380.4592857142859,380.39910951110517,0.060176203180731136,0.003534790334337614
xyAILKfYP2M8GqAai11x6NT7IcP2,204.09444444444193,204.0743282432968,0.020116201145128798,0.0011816390801166626
xyAILKfYP2M8GqAai11x6NT7IcP2,204.09444444444193,204.07925919152711,0.015185252914818648,0.0008919918903251893
xyAILKfYP2M8GqAai11x6NT7IcP2,204.09444444444193,204.07537949919583,0.01906494524610025,0.0011198876070361644
pcbRW89vVJcviD87V3uxyG4I9st2,90.58611111111043,90.59979222741487,-0.013681116304439911,-0.0008036379020231726
pcbRW89vVJcviD87V3uxyG4I9st2,90.58611111111043,90.59325691647396,-0.0071458053635353735,-0.000419749375915608
pcbRW89vVJcviD87V3uxyG4I9st2,90.58611111111043,90.59752637766277,-0.011415266552347703,-0.0006705403754360938
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,317.7583335505592,317.73230036186885,0.026033188690348652,0.001529206877314217
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,317.7583335505592,317.7053544783276,0.052979072231607915,0.0031120260592716682
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,317.7583335505592,317.7060416729406,0.05229187761858611,0.003071659789093025
yatBVTBMCSMp0wJluOCLzTFKMyP2,33.833333333540395,33.848946964021124,-0.015613630480729057,-0.0009171550744310296
yatBVTBMCSMp0wJluOCLzTFKMyP2,33.833333333540395,33.84840491638329,-0.015071582842892894,-0.0008853148344408248
yatBVTBMCSMp0wJluOCLzTFKMyP2,33.833333333540395,33.852046108082774,-0.018712774542379407,-0.0010992008648731439
u64Uf920g5VD9Byq26LT2rs5o4t1,98.30000000033112,98.31133094637048,-0.01133094603935092,-0.0006655873322300902
u64Uf920g5VD9Byq26LT2rs5o4t1,98.30000000033112,98.30594948771912,-0.005949487387994168,-0.00034947685965138034
u64Uf920g5VD9Byq26LT2rs5o4t1,98.30000000033112,98.31250070866581,-0.012500708334684418,-0.0007342999501165813
nT1qJOiMyDdJ9ui4el195A8Hsgs1,111.68888889087577,111.69498824617216,-0.006099355296385056,-0.0003582802006068818
nT1qJOiMyDdJ9ui4el195A8Hsgs1,111.68888889087577,111.70281415079386,-0.013925259918082133,-0.0008179790608214586
nT1qJOiMyDdJ9ui4el195A8Hsgs1,111.68888889087577,111.70281415079386,-0.013925259918082133,-0.0008179790608214586
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,214.76388888909582,214.74068556337653,0.023203325719293844,0.0013629788378425028
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,214.76388888909582,214.7402434128167,0.023645476279114064,0.0013889510568022216
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,214.76388888909582,214.74564376860752,0.01824512048830229,0.0010717305536406315
dGL2zPQyEvdibcvxeTencpgoWbg2,49.6388888888921,137.5740455002164,-87.93515661132432,-5.165369784209057
kxerHPSL3bQjD74HhiebYf3blPr1,131.58333333331393,131.58729587038113,-0.003962537067195626,-0.00023276207178625515
kxerHPSL3bQjD74HhiebYf3blPr1,131.58333333331393,131.5878901528184,-0.004556819504472287,-0.0002676706187552801
kxerHPSL3bQjD74HhiebYf3blPr1,131.58333333331393,131.5871339505137,-0.003800617199772205,-0.00022325079071412515
2h5FgHUEvBS1twD5DqbTIRrMm1f2,138.85833332770403,138.85914239327496,-0.0008090655709338535,-4.752505157882879e-05
2h5FgHUEvBS1twD5DqbTIRrMm1f2,138.85833332770403,138.85845649118895,-0.00012316348491481222,-7.234705298914893e-06
2h5FgHUEvBS1twD5DqbTIRrMm1f2,138.85833332770403,138.85747278469233,0.0008605430116972457,5.0548870803520944e-05
lpzDdvuMkKWkPxu6xeclmdctEp42,103.29444443517264,103.30806029811066,-0.013615862938024748,-0.0007998048757321225
lpzDdvuMkKWkPxu6xeclmdctEp42,103.29444443517264,103.3095046988783,-0.015060263705663601,-0.0008846499407659783
lpzDdvuMkKWkPxu6xeclmdctEp42,103.29444443517264,103.30794463657926,-0.013500201406628776,-0.0007930108401894468
