participant_id,stroop_lba_congruent_v_correct,stroop_lba_congruent_v_incorrect,stroop_lba_congruent_A,stroop_lba_congruent_b,stroop_lba_congruent_t0,stroop_lba_congruent_n_trials,stroop_lba_congruent_negloglik,stroop_lba_congruent_converged,stroop_lba_congruent_aic,stroop_lba_congruent_bic,stroop_lba_incongruent_v_correct,stroop_lba_incongruent_v_incorrect,stroop_lba_incongruent_A,stroop_lba_incongruent_b,stroop_lba_incongruent_t0,stroop_lba_incongruent_n_trials,stroop_lba_incongruent_negloglik,stroop_lba_incongruent_converged,stroop_lba_incongruent_aic,stroop_lba_incongruent_bic,stroop_lba_neutral_v_correct,stroop_lba_neutral_v_incorrect,stroop_lba_neutral_A,stroop_lba_neutral_b,stroop_lba_neutral_t0,stroop_lba_neutral_n_trials,stroop_lba_neutral_negloglik,stroop_lba_neutral_converged,stroop_lba_neutral_aic,stroop_lba_neutral_bic,stroop_lba_v_correct_interference,stroop_lba_b_interference,stroop_lba_t0_interference
06qcrpGKL6Vc3LVplFQC90VAcRm1,,,,,,36,,False,,,3.982802218501835,1.3727474752809519,0.8727381279202442,1.9490533686033535,0.13767093915505982,36,994.7167601734277,True,1999.4335203468554,2007.351115039136,,,,,,36,,False,,,,,
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,0.5,0.46774310137131037,0.1,0.8399725401946139,0.16159440059498423,36,78.34883739058685,True,166.6976747811737,174.61526947345425,0.5,0.45469170394522535,0.5598473655411645,1.5922684257045647,0.1,36,113.0986812296317,True,236.1973624592634,244.11495715154393,,,,,,36,,False,,,0.0,0.7522958855099509,-0.06159440059498422
0d841i8KPjdjwCYfDuUUXj0SEjH2,3.982802218501835,1.3727474752809519,0.8727381279202442,1.9490533686033535,0.13767093915505982,36,994.7167601734277,True,1999.4335203468554,2007.351115039136,3.982802218501835,1.3727474752809519,0.8727381279202442,1.9490533686033535,0.13767093915505982,36,994.7167601734277,True,1999.4335203468554,2007.351115039136,,,,,,36,,False,,,0.0,0.0,0.0
0oa5NYVnIBS9NmrmRAZrahXDctP2,3.764270993460116,1.1226242615474677,0.9255408121955797,2.051146545918802,0.2870841928089407,36,884.6200350525891,True,1779.2400701051781,1787.1576647974587,3.7864939817272707,1.1451659804557273,0.9185232061017644,2.0072140937541545,0.24224605539849253,36,930.4270020830974,True,1870.8540041661947,1878.7715988584753,1.3718874521103024,1.337132508052697,0.521592055398806,1.2301206074135589,0.2545124512000493,36,478.46922328378537,True,966.9384465675707,974.8560412598513,-0.02222298826715452,-0.04393245216464736,-0.044838137410448176
146QT9LupyU2BAiTsB3PMIpVXM22,,,,,,36,,False,,,3.982802218501835,1.3727474752809519,0.8727381279202442,1.9490533686033535,0.13767093915505982,36,994.7167601734277,True,1999.4335203468554,2007.351115039136,,,,,,36,,False,,,,,
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,,,,,,36,,False,,,3.982802218501835,1.3727474752809519,0.8727381279202442,1.9490533686033535,0.13767093915505982,36,994.7167601734277,True,1999.4335203468554,2007.351115039136,,,,,,36,,False,,,,,
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,,,,,,36,,False,,,3.982802218501835,1.3727474752809519,0.8727381279202442,1.9490533686033535,0.13767093915505982,36,994.7167601734277,True,1999.4335203468554,2007.351115039136,,,,,,36,,False,,,,,
1fbLQPCcysVlSKup96K4yI5NX6G3,4.890300582365402,2.307305135772024,0.8074578747492585,1.0868169604950226,0.28015437515822683,36,994.7167601734277,True,1999.4335203468554,2007.351115039136,,,,,,36,,False,,,,,,,,36,,False,,,,,
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,,,,,,36,,False,,,3.982802218501835,1.3727474752809519,0.8727381279202442,1.9490533686033535,0.13767093915505982,36,994.7167601734277,True,1999.4335203468554,2007.351115039136,3.982802218501835,1.3727474752809519,0.8727381279202442,1.9490533686033535,0.13767093915505982,36,994.7167601734277,True,1999.4335203468554,2007.351115039136,,,
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,,,,,,36,,False,,,0.5,0.4973949038831411,0.991502207670158,2.120172239825401,0.1,36,113.91675690626074,True,237.8335138125215,245.75110850480203,,,,,,36,,False,,,,,
