participant_id,stroop_exg_congruent_mu,stroop_exg_congruent_sigma,stroop_exg_congruent_tau,stroop_exg_correct_congruent_mu,stroop_exg_correct_congruent_sigma,stroop_exg_correct_congruent_tau,stroop_lognorm_correct_congruent_mu,stroop_lognorm_correct_congruent_sigma,stroop_lognorm_correct_congruent_shift,stroop_mix_slow_prop_correct_congruent,stroop_exg_incongruent_mu,stroop_exg_incongruent_sigma,stroop_exg_incongruent_tau,stroop_exg_correct_incongruent_mu,stroop_exg_correct_incongruent_sigma,stroop_exg_correct_incongruent_tau,stroop_lognorm_correct_incongruent_mu,stroop_lognorm_correct_incongruent_sigma,stroop_lognorm_correct_incongruent_shift,stroop_mix_slow_prop_correct_incongruent,stroop_exg_neutral_mu,stroop_exg_neutral_sigma,stroop_exg_neutral_tau,stroop_exg_correct_neutral_mu,stroop_exg_correct_neutral_sigma,stroop_exg_correct_neutral_tau,stroop_lognorm_correct_neutral_mu,stroop_lognorm_correct_neutral_sigma,stroop_lognorm_correct_neutral_shift,stroop_mix_slow_prop_correct_neutral,stroop_exg_mu_interference,stroop_exg_sigma_interference,stroop_exg_tau_interference,stroop_exg_correct_mu_interference,stroop_exg_correct_sigma_interference,stroop_exg_correct_tau_interference,stroop_vincentile_interference_p10_correct,stroop_vincentile_interference_p30_correct,stroop_vincentile_interference_p50_correct,stroop_vincentile_interference_p70_correct,stroop_vincentile_interference_p90_correct,stroop_delta_plot_slope_correct
06qcrpGKL6Vc3LVplFQC90VAcRm1,553.4321957173951,88.22131633647811,129.2446206672264,553.4321957173951,88.22131633647811,129.2446206672264,5.4474073522951185,1.0360173005953872,385.59999999403954,0.12248683560269191,683.3874811585446,145.9348022717825,54.298774175851136,565.358136224493,60.18746517906967,166.321489131413,5.268460831951923,1.0982243785389623,469.2000000029802,0.27816316774512284,539.1562096636112,67.81288703689607,130.98812078595265,539.1562096636112,67.81288703689607,130.98812078595265,5.297801006850591,1.0261427375594439,412.8000000119209,0.48332441819392635,129.9552854411495,57.71348593530439,-74.94584649137526,11.925940507097948,-28.033851157408442,37.07686846418659,57.660000005364395,34.14000000059605,25.299999997019768,72.41999999433745,136.1199999928474,78.459999987483
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,500.8554692645714,66.22252185016558,120.02075499228647,503.0086195186605,68.55810358397859,120.45560749022988,5.353381349777278,1.0184558059973634,355.60000000009313,0.2224473115326404,471.31023818916094,81.4894868916819,235.35960681924607,483.5277483993613,69.44131550419506,233.04231037087095,5.566062187939332,1.1182173013086507,355.20000000018626,0.718732308094265,450.56655388558045,10.0,278.1856520422729,450.56655388558045,10.0,278.1856520422729,5.169975671638105,1.2668278650885452,450.5,0.027777777752139854,-29.54523107541047,15.266965041516329,115.3388518269596,-19.480871119299195,0.8832119202164677,112.58670288064107,14.779999999981385,11.959999999823026,33.10000000009313,74.32000000011169,270.86000000010245,256.08000000012106
0d841i8KPjdjwCYfDuUUXj0SEjH2,617.1928546761542,116.90198159673007,131.8882458513284,622.6330985575368,121.79472919205246,129.28902703714735,5.473347632109469,1.1333467613638504,431.3999996185303,0.5190432661793549,741.9342619529352,106.71824096681226,279.81227654978676,748.2902880174246,109.83105459625966,282.09121902511623,5.531951826960847,1.3085860806518412,638.7999992370605,0.4165041632523562,630.3133496964773,133.93346005626586,346.7857338217774,630.3133496964773,133.93346005626586,346.7857338217774,6.074773156556895,1.1611740955870569,396.69999980926514,0.44345996647771113,124.74140727678105,-10.183740629917807,147.92403069845835,125.65718945988783,-11.963674595792796,152.80219198796888,150.03000020980835,192.09999990463257,280.5,343.1599996566774,426.9999999999999,276.96999979019154
0oa5NYVnIBS9NmrmRAZrahXDctP2,428.6622365389841,62.092855640175316,137.15018437470187,425.2190617040743,59.936698275386604,132.016291002902,5.036914409255461,1.1248427340042453,342.09999999403954,0.20524284303652607,401.8045649414512,39.23817043316375,156.63433160235599,399.5401677897119,38.11791846492789,158.09384831412746,4.939638856404239,1.1260623685340196,351.59999999403954,0.43030507342394664,494.0427772637094,109.79308469158383,37.38954171244802,501.39082225163645,108.59695901868574,34.823542294496995,4.896151957409302,1.0855830712212922,350.80000001192093,0.29857047873576803,-26.857671597532885,-22.854685207011563,19.48414722765412,-25.67889391436239,-21.818779810458715,26.077557311225462,-13.799999986588944,-18.989999996125675,-24.950000002980232,-3.4099999949335142,-28.400000002980278,-14.600000016391334
146QT9LupyU2BAiTsB3PMIpVXM22,719.6151743079349,193.45392263604546,43.10002822520409,719.6151743079349,193.45392263604546,43.10002822520409,5.747008974130785,1.1000203766856418,357.40000000596046,0.4849728019153948,698.1290614490911,179.43716228894155,179.91765509734446,710.128773162665,187.97672789062386,172.652799063197,5.917985487800052,1.1408369911872178,394.59999999403954,0.5383774630612036,525.868948817035,76.6343788536928,210.0498519168617,525.868948817035,76.6343788536928,210.0498519168617,5.4930608261430525,1.1061545901074616,402.2000000029802,0.36789420183623567,-21.486112858843853,-14.016760347103911,136.81762687214038,-9.486401145269951,-5.477194745421599,129.5527708379929,74.33000000268225,99.04999999403958,120.14999999850988,139.09999999701984,169.88000000417264,95.55000000149039
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,845.9334787274848,239.24739637434922,239.8895063143262,845.9334787274848,239.24739637434922,239.8895063143262,6.1310823021908165,1.3568549082464747,429.40000000596046,0.5041747593317258,817.5816868033406,246.8588319343182,393.86401757723985,824.967476570414,254.43975091955843,395.28513209715794,6.318069850069523,1.3703996663077607,411.90000000596046,0.5802362204322191,798.1039042571555,260.40439992084794,427.50228839087004,798.1039042571555,260.40439992084794,427.50228839087004,6.3679336771252135,1.2836408951167408,401.5,0.5370381005535516,-28.35179192414421,7.611435559968982,153.97451126291364,-20.966002157070875,15.192354545209213,155.39562578283173,-13.290000018477372,74.1000000059604,98.34999997913837,109.82000002264999,350.1300000041724,363.4200000226498
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,849.6438120555024,170.87920907216613,11.18704364170474,849.6438120555024,170.87920907216613,11.18704364170474,5.525422874884047,1.4252381110684471,494.3999999761581,0.48075899618919893,809.9330257446436,142.40447920063104,291.4312575011955,805.3387536172947,139.79442423018742,287.64203953600907,6.148268134248978,1.1414622244845516,488.3999999761581,0.5089094705872095,705.2534365340696,141.2252661554946,174.14891330701823,705.2534365340696,141.2252661554946,174.14891330701823,5.808697525083882,1.1243832859624276,445.2000000476837,0.5850819487234267,-39.71078631085879,-28.47472987153509,280.24421385949074,-44.30505843820765,-31.084784841978717,276.4549958943043,201.96999994516375,84.83000007867815,152.70000004768383,218.5999999642372,448.82999992370605,246.8599999785423
1fbLQPCcysVlSKup96K4yI5NX6G3,670.111297123244,235.797825036704,246.90412895307531,686.8430249067598,230.7890072688006,243.88074782843003,5.963461092842702,1.2641076281841623,372.3000000715256,0.8493226957130355,711.0518226250309,192.9093537568118,262.2824951126794,711.0518226250309,192.9093537568118,262.2824951126794,5.83792052382816,1.5239997828608742,437.3000000715256,0.3662506643008777,869.2487050374523,238.73942339876123,10.0,869.2487050374523,238.73942339876123,10.0,5.802771411177717,1.4420654609546841,385.60000002384186,0.8585041050696244,40.940525501786965,-42.8884712798922,15.37836615960407,24.20879771827117,-37.87965351198878,18.401747284249353,88.99999994039536,46.24999998807914,50.500000059604645,-39.53999999761595,129.5099999666213,40.51000002622595
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,610.268138402418,31.882646197627587,376.45945750770795,610.268138402418,31.882646197627587,376.45945750770795,5.461530129299462,1.29334945210916,577.2999999523163,0.48368266877105937,519.3408156444771,10.0,377.8986482253957,518.7999711784157,10.0,386.06630130937793,5.496475429967463,1.2952267115621665,518.0999999046326,0.02857102421930946,515.583287921971,54.11883599158207,317.27866374038763,511.53686722149166,52.538185504223286,326.98369855018404,5.318850213891985,1.3999355125602124,476.2000000476837,0.2919907932643119,-90.92732275794094,-21.882646197627587,1.4391907176877226,-91.46816722400229,-21.882646197627587,9.606843801669982,-48.24999996423719,-14.880000078678108,40.34999996423721,-84.84999996423744,-297.6699999570849,-249.4199999928477
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,646.5297821175601,141.33041658982313,223.83556380734382,646.5297821175601,141.33041658982313,223.83556380734382,5.858115054746537,1.1743044723461984,394.7000000476837,0.561340433961214,697.4430785797372,155.2831617927273,304.51749873084134,712.3626867104704,155.0958256160444,301.0400246659423,6.1637724438302275,1.155051789765974,392.6999999880791,0.5720911459427341,658.2262021691433,156.36696828399843,264.8179746091555,658.2262021691433,156.36696828399843,264.8179746091555,5.888089620322869,1.1760554071659262,429.0,0.174982930690313,50.91329646217707,13.952745202904168,80.68193492349752,65.83290459291027,13.765409026221278,77.20446085859851,100.46000002026562,67.12000002264972,81.45000004768383,182.17000000476833,412.5599999845026,312.099999964237
