participant_id,stroop_rt_interference,stroop_rt_facilitation,stroop_rt_incong_minus_neutral,stroop_rt_neutral_minus_cong,stroop_rt_interference_correct,stroop_rt_facilitation_correct,stroop_rt_incong_minus_neutral_correct,stroop_rt_neutral_minus_cong_correct,stroop_acc_interference,stroop_acc_facilitation,stroop_trials,stroop_ez_congruent_v,stroop_ez_congruent_a,stroop_ez_congruent_t0,stroop_ez_congruent_sv,stroop_ez_congruent_sz,stroop_ez_congruent_st0,stroop_ez_incongruent_v,stroop_ez_incongruent_a,stroop_ez_incongruent_t0,stroop_ez_incongruent_sv,stroop_ez_incongruent_sz,stroop_ez_incongruent_st0,stroop_ez_neutral_v,stroop_ez_neutral_a,stroop_ez_neutral_t0,stroop_ez_neutral_sv,stroop_ez_neutral_sz,stroop_ez_neutral_st0,stroop_ez_congruent_v_sd,stroop_ez_incongruent_v_sd,stroop_ez_neutral_v_sd,stroop_ez_v_sd_interference,stroop_ez_v_interference,stroop_ez_a_interference,stroop_ez_t0_interference
06qcrpGKL6Vc3LVplFQC90VAcRm1,55.011111111276705,-12.533333335485736,67.54444444676244,-12.533333335485736,49.00222222242087,-12.533333335485736,61.535555557906605,-12.533333335485736,-0.02777777777777779,0.0,108,0.008806436673665275,4.840413932446045,415.48923352052583,0.0,0.0,0.0,0.008616508433983974,4.126205050141807,505.5459768001484,0.0,0.0,0.0,0.009575541908632487,4.4516330435549065,444.15323624748123,0.0,0.0,0.0,,,,,-0.00018992823968130151,-0.7142088823042378,90.0567432796226
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,85.79999999998836,107.87777777778035,-22.077777777791994,107.87777777778035,93.10857142856605,105.28706349207118,-12.178492063505132,105.28706349207118,0.0,0.02777777777777779,108,0.008605030126133043,4.131709022949265,396.72800531856603,0.0,0.0,0.0,0.006548780278472143,5.429023284193757,325.0959751369895,0.0,0.0,0.0,0.006752731795031265,6.312526554331459,274.3308652264307,0.0,0.0,0.0,,,,,-0.0020562498476609002,1.2973142612444928,-71.63203018157651
0d841i8KPjdjwCYfDuUUXj0SEjH2,272.66944448153174,228.0194445451101,44.64999993642164,228.0194445451101,278.45655465887376,225.17714294403322,53.279411714840535,225.17714294403322,-0.02777777777777779,0.02777777777777779,108,0.008070180430396324,4.40553726419573,494.1352381992674,0.0,0.0,0.0,0.00572677154854109,4.947313368520846,646.4273153431442,0.0,0.0,0.0,0.006431476075794003,6.627840680438304,476.14703688579334,0.0,0.0,0.0,,,,,-0.0023434088818552346,0.5417761043251161,152.29207714387678
0oa5NYVnIBS9NmrmRAZrahXDctP2,-7.377777778026143,-34.38333333283663,27.005555554810485,-34.38333333283663,0.39899159632307146,-21.021008402910525,21.419999999233596,-21.021008402910525,0.02777777777777779,0.02777777777777779,108,0.008056442967241373,3.5167050217775504,363.23156119962493,0.0,0.0,0.0,0.008260341847846553,4.304117344025276,311.5791109589529,0.0,0.0,0.0,0.010000649795535261,3.55511705157067,368.3446663714938,0.0,0.0,0.0,,,,,0.00020389888060518002,0.7874123222477252,-51.65245024067201
146QT9LupyU2BAiTsB3PMIpVXM22,115.33333333416113,-26.799999999917304,142.13333333407843,-26.799999999917304,120.0690476199818,-26.799999999917304,146.8690476198991,-26.799999999917304,-0.02777777777777779,0.0,108,0.008196307014044488,5.200732317295042,454.26875701413144,0.0,0.0,0.0,0.006736087791700963,5.27806075489351,512.7760505511201,0.0,0.0,0.0,0.007453960731818929,5.71867766735757,362.97228783478005,0.0,0.0,0.0,,,,,-0.0014602192223435251,0.07732843759846819,58.50729353698864
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,125.64722222586465,139.79166667080585,-14.1444444449412,139.79166667080585,134.45428571838215,139.79166667080585,-5.3373809524237,139.79166667080585,-0.02777777777777779,0.0,108,0.0063321978895470275,6.731754047165841,569.0157022454495,0.0,0.0,0.0,0.004936106401717923,7.2027378912497495,531.1903522697907,0.0,0.0,0.0,0.005216975670421282,8.170787341810813,464.2481672371986,0.0,0.0,0.0,,,,,-0.0013960914878291047,0.4709838440839089,-37.82534997565881
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,240.625,18.6583333247238,221.9666666752762,18.6583333247238,232.23563492061612,18.6583333247238,213.57730159589232,18.6583333247238,-0.02777777777777779,0.0,108,0.00882273943928845,4.831469756501279,594.545194178671,0.0,0.0,0.0,0.005950743269637775,5.974628547041704,618.8652147576311,0.0,0.0,0.0,0.007804365270594466,5.461917438824115,539.1986760723166,0.0,0.0,0.0,,,,,-0.0028719961696506754,1.1431587905404257,24.32002057896011
1fbLQPCcysVlSKup96K4yI5NX6G3,56.30833333068426,-37.794444458352245,94.10277778903651,-37.794444458352245,42.602063491041804,-51.500714297994705,94.10277778903651,-51.500714297994705,0.02777777777777779,0.02777777777777779,108,0.005866365975002626,6.0605630072164445,442.87130095645796,0.0,0.0,0.0,0.0064045579262149745,6.655697280203254,468.15498719696916,0.0,0.0,0.0,0.007464698840446174,5.710451242781195,507.3528243231405,0.0,0.0,0.0,,,,,0.0005381919512123488,0.5951342729868099,25.2836862405112
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,-89.48055555423093,-153.86388888955116,64.38333333532023,-153.86388888955116,-81.85087301267515,-148.2023015861473,66.35142857347216,-148.2023015861473,-0.02777777777777779,-0.02777777777777779,108,0.0055759760210916985,7.644724189841022,320.2557874908674,0.0,0.0,0.0,0.00578822506407474,6.142380474380784,403.7531992270239,0.0,0.0,0.0,0.005734277195176242,6.200167763916654,327.92846707331057,0.0,0.0,0.0,,,,,0.00021224904298304103,-1.5023437154602384,83.4974117361565
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,131.56944444278872,52.677777775459845,78.89166666732888,52.677777775459845,143.03039682337214,52.677777775459845,90.3526190479123,52.677777775459845,-0.02777777777777779,0.0,108,0.006766481347735694,6.299699441967374,417.78687906367173,0.0,0.0,0.0,0.00579411736292187,6.136134011093823,513.2976088463598,0.0,0.0,0.0,0.006830982413896739,6.240214977525715,478.9711578424307,0.0,0.0,0.0,,,,,-0.0009723639848138238,-0.16356543087355124,95.51072978268809
23AEyocWhqY955WHbxhHRSgQ1ms2,113.0500000013659,27.52777777922654,85.52222222213936,27.52777777922654,113.0500000013659,27.712936509388783,85.33706349197712,27.712936509388783,0.0,-0.02777777777777779,108,0.0104817157344227,4.066776837920128,564.347643139002,0.0,0.0,0.0,0.007255885964948052,5.8747889611738655,472.4188373389255,0.0,0.0,0.0,0.00938542450457109,3.7881590329321946,590.0666768324822,0.0,0.0,0.0,,,,,-0.0032258297694746484,1.8080121232537376,-91.92880580007647
23hG7h2ByUZDbmOMTDtp0HT0xRb2,373.92222221692396,73.56134923337004,300.3608729835539,73.56134923337004,373.92222221692396,73.56134923337004,300.3608729835539,73.56134923337004,0.0,0.0,107,0.005668219126331486,7.520315961743982,344.19877075312,0.0,0.0,0.0,0.004588814729950476,9.289283023826338,379.0193230207542,0.0,0.0,0.0,0.005966842109285842,7.096059233757796,485.07348759866863,0.0,0.0,0.0,,,,,-0.0010794043963810096,1.7689670620823552,34.820552267634184
28nQWMwCaSNFBEXlicY3eHqpwKU2,113.27500002251713,-2.344444453716278,115.61944447623341,-2.344444453716278,113.27500002251713,-2.344444453716278,115.61944447623341,-2.344444453716278,0.0,0.0,108,0.008012338486883668,5.320144529614417,722.6918147612294,0.0,0.0,0.0,0.006082631332033586,7.007953703510405,598.6807365690757,0.0,0.0,0.0,0.007004808101089987,6.085362818687386,620.8176510414792,0.0,0.0,0.0,,,,,-0.0019297071548500817,1.687809173895988,-124.0110781921536
2FHuv7L9nWPdbIiWHRIuXtcoyw83,288.0328282828393,184.81031746031772,103.2225108225216,184.81031746031772,281.219534050191,184.81031746031772,96.40921658987327,184.81031746031772,-0.06060606060606055,0.0,104,0.006790822553649271,6.27711863086546,647.0227447910419,0.0,0.0,0.0,0.004704458446801308,5.8260478967324625,833.4308422900268,0.0,0.0,0.0,0.005475499479342953,7.732822403820859,595.2171472137103,0.0,0.0,0.0,,,,,-0.002086364106847963,-0.4510707341329976,186.40809749898494
2h5FgHUEvBS1twD5DqbTIRrMm1f2,138.85833332770403,11.552777782082558,127.30555554562147,11.552777782082558,144.23261904314393,11.552777782082558,132.67984126106137,11.552777782082558,-0.02777777777777779,0.0,108,0.007527506210686577,5.662804862239396,354.34919341529195,0.0,0.0,0.0,0.005472847040077528,6.496341000312424,303.7403330842187,0.0,0.0,0.0,0.006985874397979035,6.101855879737093,306.9976405885873,0.0,0.0,0.0,,,,,-0.002054659170609049,0.8335361380730282,-50.60886033107323
2zDXvJKvjeejeOSNbtDbtSI5cdz1,145.47500000009313,-6.530555555493493,152.00555555558662,-6.530555555493493,145.47500000009313,-6.530555555493493,152.00555555558662,-6.530555555493493,0.0,0.0,108,0.009039404108523696,4.715664689691028,459.91451515549625,0.0,0.0,0.0,0.007673565550523573,5.555018522973944,507.0796180831852,0.0,0.0,0.0,0.008981144151566747,4.746254825781525,450.08320309556444,0.0,0.0,0.0,,,,,-0.001365838558000123,0.8393538332829156,47.16510292768896
3FSnTCSiUodLp5u3bE0xaUjLk0b2,55.81666666668343,39.611111111124046,16.205555555559386,39.611111111124046,55.81666666668343,39.611111111124046,16.205555555559386,39.611111111124046,0.0,0.0,108,0.008491503933391764,5.019935114531209,535.5638543399925,0.0,0.0,0.0,0.007747648879293457,5.501901213455679,533.5494996584569,0.0,0.0,0.0,0.00754409503844391,5.65035283267132,498.4640122622037,0.0,0.0,0.0,,,,,-0.0007438550540983073,0.4819660989244703,-2.0143546815356785
3WijiOiVCoMbn80F05SPYsxl0TC2,43.75833333532012,-8.922222220235426,52.68055555555554,-8.922222220235426,43.75833333532012,-8.922222220235426,52.68055555555554,-8.922222220235426,0.0,0.0,108,0.008372611726143475,5.091218865113623,534.9388234722107,0.0,0.0,0.0,0.007559727495144843,5.638668695107042,511.7098796477146,0.0,0.0,0.0,0.00867971082290833,4.911085131765962,546.5635779763516,0.0,0.0,0.0,,,,,-0.0008128842309986324,0.5474498299934192,-23.228943824496127
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,122.32777775658496,97.98888897895813,24.338888777626835,97.98888897895813,104.95040560639177,84.6411765603458,20.30922904604597,84.6411765603458,-0.13888888888888884,0.0,108,0.007778108855718881,3.6425478179995983,399.6956231651408,0.0,0.0,0.0,0.003647662186533616,3.8967031710847873,386.36566144115625,0.0,0.0,0.0,0.007068576424343069,4.008180960311999,440.4547844306146,0.0,0.0,0.0,,,,,-0.004130446669185265,0.254155353085189,-13.329961723984525
3xCaqfcHxRQxuOlEzXz3PNcHODH2,68.65555555414824,92.06944444444446,-23.41388889029622,92.06944444444446,70.2428571410477,104.70000000013147,-34.457142859083774,104.70000000013147,-0.02777777777777779,-0.05555555555555558,108,0.008701484251677782,4.8987962900920135,383.5272289171888,0.0,0.0,0.0,0.006875073652292703,5.171359961072962,372.24213984841884,0.0,0.0,0.0,0.005478128065550663,5.1718640202534605,342.3029763959042,0.0,0.0,0.0,,,,,-0.0018264105993850786,0.2725636709809489,-11.285089068769935
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,178.52222222223645,-58.23611111111438,236.75833333335083,-58.23611111111438,178.52222222223645,-58.23611111111438,236.75833333335083,-58.23611111111438,0.0,0.0,108,0.008419085097335535,5.063115324003993,495.2570703672146,0.0,0.0,0.0,0.006955445247176247,6.128550690226296,537.7994045827166,0.0,0.0,0.0,0.0077733664888716865,5.483698579172552,386.4354542369337,0.0,0.0,0.0,,,,,-0.0014636398501592885,1.065435366222303,42.542334215502024
50R0P1MIMvRvK1qpqfGROchII6R2,118.84722216924024,30.59444440735706,88.25277776188318,30.59444440735706,97.42352934756309,30.59444440735706,66.82908494020603,30.59444440735706,-0.05555555555555558,0.0,108,0.008682669188883675,4.909411822920516,494.3898638177615,0.0,0.0,0.0,0.00532433599748956,5.321251974691463,422.48652115092386,0.0,0.0,0.0,0.0073884211328562295,5.769405669210203,420.25425193075876,0.0,0.0,0.0,,,,,-0.0033583331913941148,0.4118401517709467,-71.90334266683766
5OOi73igsahMZ5IVKQwwyhnj4Cn2,143.76111111117314,0.17777777778815107,143.58333333338499,0.17777777778815107,149.40865079371247,0.17777777778815107,149.23087301592432,0.17777777778815107,-0.02777777777777779,0.0,108,0.010193446651133321,4.181784653346265,585.0793586107802,0.0,0.0,0.0,0.007349032797160321,4.837844869685718,623.0490446109775,0.0,0.0,0.0,0.008570805614217135,4.973487988072493,502.5988142582068,0.0,0.0,0.0,,,,,-0.0028444138539729996,0.6560602163394531,37.96968600019727
5Z68AKm9rIeeB2lVu3nJO7U31wk1,-2.761111111069681,27.449999999875786,-30.211111110945467,27.449999999875786,-4.142857142803905,26.01714285707908,-30.159999999882984,26.01714285707908,0.0,0.0,108,0.009327021915237054,3.811879176225836,392.5351302423424,0.0,0.0,0.0,0.008174314502745151,4.349414327397648,330.1242662022604,0.0,0.0,0.0,0.006905044294691171,5.14891419917883,259.421730513688,0.0,0.0,0.0,,,,,-0.0011527074124919028,0.537535151171812,-62.410864040082004
5rXSa3anB5ejmFrnwUsTB82byup1,148.26944444450135,-95.5222222221912,243.79166666669255,-95.5222222221912,148.26944444450135,-95.5222222221912,243.79166666669255,-95.5222222221912,0.0,0.0,108,0.007222573845569053,5.901884796451633,445.6132045134693,0.0,0.0,0.0,0.006703630501971961,6.358763174353653,530.0023621340256,0.0,0.0,0.0,0.007203518142381207,5.9174972461889865,347.98662900210644,0.0,0.0,0.0,,,,,-0.0005189433435970918,0.4568783779020196,84.38915762055626
5zxa5CMLGQSSonWOXqXf0QNS3PH3,129.66666667328934,62.886111100514654,66.78055557277469,62.886111100514654,128.31587302400953,61.535317451234846,66.78055557277469,61.535317451234846,0.02777777777777779,0.02777777777777779,108,0.01034104794094231,3.4380926205873865,419.8286477417173,0.0,0.0,0.0,0.00727431080587422,5.859908918930272,313.5517682996242,0.0,0.0,0.0,0.010733473652626932,3.971388960365187,458.50260978884256,0.0,0.0,0.0,,,,,-0.0030667371350680895,2.4218162983428857,-106.2768794420931
62fAfeQc27bZelkPX7G54T3gvci2,189.75063492074946,-32.39722222206183,222.1478571428113,-32.39722222206183,189.75063492074946,-23.115079364906364,212.86571428565583,-23.115079364906364,0.0,-0.02777777777777779,107,0.007370630135398281,5.783331680922802,586.4473321254618,0.0,0.0,0.0,0.005334868133969464,7.93666572119531,435.0273168375327,0.0,0.0,0.0,0.006444413821842701,5.516945621088011,540.4962755244655,0.0,0.0,0.0,,,,,-0.0020357620014288163,2.153334040272508,-151.42001528792912
6ABZuv4jbjgE0B8TeyUk6nwVb122,114.30833327770222,17.163888825310664,97.14444445239155,17.163888825310664,114.30833327770222,17.163888825310664,97.14444445239155,17.163888825310664,0.0,0.0,108,0.008303563237347945,5.13355502354525,708.3606699623282,0.0,0.0,0.0,0.006784473217917256,6.28299315234073,673.0202020655119,0.0,0.0,0.0,0.009922702504658924,4.2958859998472185,815.6010029161002,0.0,0.0,0.0,,,,,-0.0015190900194306887,1.14943812879548,-35.340467896816335
6OwhwWQDThSPHTVAeXugohrYuje2,324.0055555469461,62.04444442854992,261.96111111839616,62.04444442854992,339.6013071819458,62.04444442854992,277.5568627533959,62.04444442854992,-0.05555555555555558,0.0,108,0.007643228846143563,5.577066921386346,561.8194843539397,0.0,0.0,0.0,0.005260979069125322,5.385334757713187,801.1735888930616,0.0,0.0,0.0,0.006699149249650109,6.36301673270521,516.8463767046774,0.0,0.0,0.0,,,,,-0.0023822497770182418,-0.19173216367315948,239.35410453912186
6WFCyGwk71XLPBmbe4Vav3eotVm1,30.483333415455263,-38.77777769830493,69.2611111137602,-38.77777769830493,30.483333415455263,-38.77777769830493,69.2611111137602,-38.77777769830493,0.0,0.0,108,0.009794640958383234,4.352053224975942,469.6756741559916,0.0,0.0,0.0,0.008791334351505972,4.848729108239541,448.0454575812695,0.0,0.0,0.0,0.013144312156766334,3.2429843617545315,526.957606054035,0.0,0.0,0.0,,,,,-0.0010033066068772627,0.4966758832635998,-21.630216574722112
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,145.64166670375403,161.83055557145008,-16.18888886769605,161.83055557145008,145.64166670375403,161.83055557145008,-16.18888886769605,161.83055557145008,0.0,0.0,108,0.00786395479413807,5.420529477380511,699.4489009029126,0.0,0.0,0.0,0.007521146181048848,5.667593441784262,813.8499028322248,0.0,0.0,0.0,0.006463133288573568,6.595376710824581,700.2924752660795,0.0,0.0,0.0,,,,,-0.0003428086130892226,0.24706396440375045,114.4010019293122
80UJMJbCOMgs6YVpsMgXfYTzw6o2,74.12777777787096,68.51111111106968,5.6166666668012795,68.51111111106968,74.12777777787096,68.51111111106968,5.6166666668012795,68.51111111106968,0.0,0.0,108,0.009721529992272682,4.384782930700807,480.08690901874013,0.0,0.0,0.0,0.009359431861234805,4.554421614731364,536.9214376393178,0.0,0.0,0.0,0.008413947896385963,5.066206648215953,475.1555358635656,0.0,0.0,0.0,,,,,-0.00036209813103787666,0.16963868403055749,56.83452862057766
