participant_id,stroop_cv_all,stroop_cv_incong,stroop_cv_cong,stroop_rt_sd_all,stroop_rt_iqr_all,stroop_rt_skew_all,stroop_rt_mssd_all,stroop_exg_congruent_sigma,stroop_exg_incongruent_sigma,stroop_exg_neutral_sigma,stroop_exg_sigma_interference
GEwkBw3YHaNp3TCh9YS9PKVfavz1,0.3047129706135265,0.33716496465582385,0.21566996566609406,218.9797191987324,254.7249999642372,0.7231445237914258,95875.18485698606,143.3758590048011,172.30532972054544,138.29660707633977,28.929470715744344
HSggdq91WiQp16bOj7V3dABkcgk2,0.30815343810780116,0.3932571531584784,0.23084412516493125,221.7497820057865,201.5250000357628,1.2789349746851013,92680.08019140901,154.53005756307851,160.1752104479194,138.9231461296757,5.645152884840883
HbydnnT1hUP3WagAy2TJAc6GqVs2,0.23027165314251827,0.2650151814049473,0.19911428830990333,219.9484470033413,240.00000005960464,1.7210161725770898,93469.76159096666,119.5307510094302,90.73912540411992,72.31243172084002,-28.791625605310287
HyQM2xKwwuVfqidmRYF6TiRk90C2,0.3128693104864935,0.3359150823235616,0.3008394936052376,203.63707430042305,206.65000000968575,1.4465715904199679,76221.47943950519,185.97193416211,120.02502579783176,93.06161685983544,-65.94690836427823
IaTJhUGICmO9xcL3605RW8QHneN2,0.40294300524929616,0.321033767565501,0.324965927583502,297.9442661798293,292.2750000357628,2.1599664503705016,139460.91084103388,146.30330811977902,245.48002204058508,10.0,99.17671392080608
JOBWLirr6KYf3GXJ3jPFKmd48S93,0.2989663666728301,0.27700822541612946,0.30725501517925075,284.4784011786008,337.92500001192093,0.8585408371577015,103705.51065515353,153.25590726079207,185.371438935583,147.08095524582896,32.11553167479093
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,0.3015755801997597,0.3490625664990056,0.276531187356835,222.7498667416394,213.7999999821186,2.01791021226843,95180.7566364215,58.752954966705616,72.38062465538108,101.84215411303477,13.627669688675468
JvrZiMHtAfP6gvQtlevYWafKy0z2,0.2899831406366275,0.27047987600141865,0.3282638353786786,366.663812120848,441.9249999523163,0.5696839089969101,214063.42924135082,213.08846188495417,368.25498884933546,267.2518662496417,155.1665269643813
K26uNuY0VNPjJNF26wEx3bFg0kr2,0.2776942124413659,0.2513377929600362,0.31171691468342044,210.77067861580736,201.97500000009313,1.5363200379656559,70661.37747661855,49.82102918234133,110.49208514416,75.25039295542385,60.67105596181865
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,0.23217729985191327,0.28747106297522573,0.20567833524309295,170.802950467912,166.25,1.9899519387205993,53698.66355140386,106.36170909850604,95.85989259989051,89.78563886243253,-10.501816498615526
KtKj6zUKc5Oogd2itg2jdwkchnf2,0.2980857821677545,0.3382338899587811,0.2638069464256551,181.63443128357423,177.62499999906873,1.090451414991835,49646.0532709639,55.564695738677685,194.2866692719737,67.33008030306364,138.72197353329602
LSLmd8jENtONZFVkIpRDX665Bu73,0.3141431137198364,0.2666153631106712,0.20530852102715702,304.7650691558163,317.15000009536743,1.4852414837210113,133991.81719569993,147.50633831814577,201.90713655865704,189.7235461129553,54.40079824051128
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,0.21023756536469862,0.2290406957678774,0.21008663716733225,147.43006603359268,134.49999998509884,1.8619681050623356,37727.68495282635,77.0653962846429,77.19129898190909,52.50420473616952,0.1259026972661843
LliUMEIsrCVZ88YFQfevan2Og4z1,0.35548368840298417,0.2995183541101434,0.25718267044052406,206.85595828169022,177.02499999996508,3.330311879446997,73124.85252336517,53.56263296439674,10.0,10.0,-43.56263296439674
M4Km1Q2P2oPliChDQkwl6k20FUI3,0.23308339746168294,0.2415111133385351,0.18159460404317065,172.69602136312,176.02499997615814,1.6976892427282768,44329.83635957986,65.53455101651099,72.0183564941511,57.84395439186854,6.483805477640118
O61Eik2zvrSQLMNpFbTNEgjWwMr2,0.3191456418008763,0.3133845995868467,0.3370362519135966,262.94734483732805,349.6500000040977,0.6682131263235802,105592.06476621683,107.52432115267877,241.8985064253956,167.47250874294198,134.3741852727168
OExlWyngGfPrScDYjaRcv5PIAet1,0.30940418212488313,0.3273103485973446,0.30110332011493013,233.88463746015123,296.17499992251396,1.0565537642635285,96096.57234206432,65.44585109612332,139.41881621034923,153.74118852591664,73.97296511422591
ORuVuFPU5idz3fMoXTGsbwToW2j2,0.3551738276755272,0.2756222818893613,0.4429554880464048,280.71229243736786,248.55000007152557,2.410633064083243,143858.19040170545,47.796961586181055,10.0,10.0,-37.796961586181055
ORvIk1xRWIQmKuLVe6GXNouvAXx2,0.37733054506918623,0.3598989792323878,0.324841159925072,367.0406013541787,438.89999997615814,1.612525983088639,233272.3741150849,98.24279568924864,114.8037759456544,54.47996061659181,16.560980256405756
P8mTl71XaYNvFMTCvlKpzzUdc9W2,0.2602215773591281,0.2903481087208637,0.21416694903002423,236.39275019568367,252.00000004470337,1.4669261946895922,98934.82336515948,82.69109703279051,103.69018177272868,160.3969582043272,20.999084739938183
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,0.4403052181820641,0.3903463017239462,0.2785248151274234,416.579289961737,425.17499996721745,1.275464649540108,330331.60448513855,132.80175309726818,251.8563551671805,189.66316234225036,119.05460206991232
PLreonkqaMeFc0UqxKUelH44UQu1,0.3304527436052121,0.31695072718695405,0.38022023815333383,212.9853605471308,226.25,1.4386637232931114,83276.94084083148,61.95042410763205,24.965968446771125,83.31971367349831,-36.98445566086093
PXesLO51qlY7lJBrLdOAZiHmUR72,0.4124768759983726,0.4014184545380134,0.4054846339433626,537.0601541942862,595.5249999996743,0.9658228324302761,563615.7862625134,175.03108668915016,245.00092538074185,183.24653912730705,69.96983869159169
PkpTH7pWpEOG9A86xSloOSozwTk2,0.24992024607217228,0.26494801456167494,0.21341290708563015,344.42074968254553,390.44999980926514,0.3477556520829697,250512.13504966671,245.0400576822348,353.5096797717315,237.30454352301047,108.46962208949672
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,0.3633469858460889,0.34317518262411273,0.3053045756959947,264.86447679168094,339.4249999988824,1.1182341149635426,118581.27644872594,71.26304213888196,153.75566078976007,73.043564095649,82.49261865087811
QbOEVCaZLUMOgltUdXm58oZOALv2,0.2791935871445723,0.26435019567631646,0.24075140719345087,299.9079417230354,279.3750000000001,0.08740196627058328,156867.831213859,245.9427057990628,294.98469457448954,234.9434196964969,49.04198877542672
