t2_stim,t1_resp,t1_stim,t1_correct,t2_correctResp,idx,t2_resp,t2_correct,t1_correctResp,t1_rt,t2_resp_ms,participant_id,t1_rt_ms,t1_resp_ms,t2_onset_ms,task,block_index,t2_pressed_while_t1_pending,soa,t1_timeout,t2_timeout,soa_measured_ms,response_order,t1_onset_ms,trial_index,t2_rt,soa_bin
red,E,4,True,R,0,R,True,E,,1459919.799999982,GE4hogtdLdTFbNasENgtm6SO3hC3,1781.0,1459412.0,1457702.299999982,prp,,False,50.0,False,False,71.2999999821186,T1→T2,1457631.0,0.0,2217.5,short
red,O,9,True,R,1,R,True,O,,1462245.5,GE4hogtdLdTFbNasENgtm6SO3hC3,1052.5999999940395,1462002.299999982,1461014.5,prp,,False,50.0,False,False,64.80000001192093,T1→T2,1460949.699999988,1.0,1231.0,short
blue,O,1,True,B,2,B,True,O,,1465244.0,GE4hogtdLdTFbNasENgtm6SO3hC3,1634.9000000059605,1464913.0,1463451.8999999762,prp,,False,150.0,False,False,173.7999999821186,T1→T2,1463278.099999994,2.0,1792.100000023842,short
red,E,6,True,R,3,R,True,E,,1467540.099999994,GE4hogtdLdTFbNasENgtm6SO3hC3,818.0,1467086.299999982,1466891.5,prp,,False,600.0,False,False,623.2000000178814,T1→T2,1466268.299999982,3.0,648.5999999940395,other
blue,O,7,True,B,4,B,True,O,,1469779.099999994,GE4hogtdLdTFbNasENgtm6SO3hC3,851.0999999940395,1469426.799999982,1468896.699999988,prp,,False,300.0,False,False,321.0,T1→T2,1468575.699999988,4.0,882.4000000059605,other
red,O,9,True,R,5,R,True,O,,1471942.299999982,GE4hogtdLdTFbNasENgtm6SO3hC3,898.3000000119209,1471703.099999994,1471132.5,prp,,False,300.0,False,False,327.7000000178814,T1→T2,1470804.799999982,5.0,809.7999999821186,other
blue,E,4,True,B,6,B,True,E,,1474142.799999982,GE4hogtdLdTFbNasENgtm6SO3hC3,794.6999999880791,1473768.8999999762,1473585.199999988,prp,,False,600.0,False,False,611.0,T1→T2,1472974.199999988,6.0,557.5999999940395,other
red,E,4,True,R,7,R,True,E,,1476380.099999994,GE4hogtdLdTFbNasENgtm6SO3hC3,942.2999999821186,1476122.3999999762,1475497.0,prp,,False,300.0,False,False,316.90000000596046,T1→T2,1475180.099999994,7.0,883.0999999940395,other
blue,E,2,True,B,8,B,True,E,,1478773.699999988,GE4hogtdLdTFbNasENgtm6SO3hC3,840.9000000059605,1478245.799999982,1478022.699999988,prp,,False,600.0,False,False,617.8000000119209,T1→T2,1477404.8999999762,8.0,751.0,other
blue,O,3,True,B,9,B,True,O,,1481814.299999982,GE4hogtdLdTFbNasENgtm6SO3hC3,1728.0999999940395,1481530.599999994,1481015.5,prp,,False,1200.0,False,False,1213.0,T1→T2,1479802.5,9.0,798.7999999821186,long
blue,O,1,True,B,10,B,True,O,,1483886.299999982,GE4hogtdLdTFbNasENgtm6SO3hC3,761.5999999940395,1483607.799999982,1482917.0,prp,,False,50.0,False,False,70.80000001192093,T1→T2,1482846.199999988,10.0,969.2999999821186,short
blue,O,9,True,B,11,B,True,O,,1485834.199999988,GE4hogtdLdTFbNasENgtm6SO3hC3,659.4000000059605,1485571.799999982,1484984.099999994,prp,,False,50.0,False,False,71.7000000178814,T1→T2,1484912.3999999762,11.0,850.0999999940395,short
