Model,UCLA_linear,UCLA_quadratic,p_quadratic,Significant,Interaction_quadratic,p_interaction,N
Quadratic (whole sample),0.24531285454071677,-0.0026717778435915926,0.48399793251934464,No,,,
Quadratic × Gender,0.35467825757166704,-0.004534346505788482,,No,0.003434499945470716,0.6507765821954716,
Quadratic (Female),0.3675619355550218,-0.005001322899097625,0.3547365469526801,No,,,45.0
Quadratic (Male),0.34542593961943147,-0.0013602898329160935,0.7746426713980357,No,,,27.0
