task,outcome,beta_ucla,pval_ucla,ci_lower,ci_upper,N
wcst,ac1,0.02671777590492745,0.13082096311464864,-0.008038837866241377,0.06147438967609628,148
prp,ac1,0.0017824980513560448,0.8986734988289677,-0.02583731638716347,0.02940231248987556,152
stroop,ac1,0.004830117335287848,0.6957059377037393,-0.019526190870733755,0.02918642554130945,156
