participant_id,phase,category_slope,n_categories
06qcrpGKL6Vc3LVplFQC90VAcRm1,exploitation,-0.01750248346671827,6
06qcrpGKL6Vc3LVplFQC90VAcRm1,exploration,-0.12129924090030063,6
06qcrpGKL6Vc3LVplFQC90VAcRm1,confirmation,-0.09690670445066192,6
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,exploitation,0.00679821234915759,6
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,exploration,0.022614582371791543,5
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,confirmation,-0.07928818432673579,6
0d841i8KPjdjwCYfDuUUXj0SEjH2,exploitation,0.028336416512103828,6
0d841i8KPjdjwCYfDuUUXj0SEjH2,exploration,0.009228148163910434,5
0d841i8KPjdjwCYfDuUUXj0SEjH2,confirmation,0.0015392830432388082,6
0oa5NYVnIBS9NmrmRAZrahXDctP2,exploitation,0.0006947414786731181,6
0oa5NYVnIBS9NmrmRAZrahXDctP2,exploration,-0.125481262658172,6
0oa5NYVnIBS9NmrmRAZrahXDctP2,confirmation,-0.011081994573967404,6
146QT9LupyU2BAiTsB3PMIpVXM22,exploitation,-0.015875236896474774,6
146QT9LupyU2BAiTsB3PMIpVXM22,exploration,0.03822655612028015,5
146QT9LupyU2BAiTsB3PMIpVXM22,confirmation,-0.004293880105597449,6
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,exploitation,-0.00786404988163449,6
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,exploration,-0.12943955247073263,5
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,confirmation,0.02668372511588487,6
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,exploitation,-0.03318146103451514,6
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,exploration,0.010368017849757214,6
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,confirmation,-0.0013729339428921517,6
1fbLQPCcysVlSKup96K4yI5NX6G3,exploitation,-0.03637420218751521,6
1fbLQPCcysVlSKup96K4yI5NX6G3,exploration,-0.17337835451919573,6
1fbLQPCcysVlSKup96K4yI5NX6G3,confirmation,-0.09058285532257791,6
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,exploitation,-0.026518753832807048,6
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,exploration,-0.09775246148306824,4
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,confirmation,-0.06535566379681093,6
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,exploitation,0.04608339978129475,4
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,exploration,0.28180814208347144,3
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,confirmation,-0.15929529848115953,4
23AEyocWhqY955WHbxhHRSgQ1ms2,exploitation,-0.05240462188030201,6
23AEyocWhqY955WHbxhHRSgQ1ms2,exploration,-0.07176786156149656,5
23AEyocWhqY955WHbxhHRSgQ1ms2,confirmation,-0.11863107589089286,6
23hG7h2ByUZDbmOMTDtp0HT0xRb2,exploitation,-0.14719660586387678,5
23hG7h2ByUZDbmOMTDtp0HT0xRb2,exploration,-0.20940753779814728,5
23hG7h2ByUZDbmOMTDtp0HT0xRb2,confirmation,-0.2365696487701548,5
28nQWMwCaSNFBEXlicY3eHqpwKU2,exploitation,-0.09340691806811453,6
28nQWMwCaSNFBEXlicY3eHqpwKU2,exploration,-0.04843545169775841,5
28nQWMwCaSNFBEXlicY3eHqpwKU2,confirmation,-0.13104267729217667,6
2FHuv7L9nWPdbIiWHRIuXtcoyw83,exploitation,-0.018939109270247372,6
