outcome_column,n,ucla_beta,ucla_se,ucla_t,ucla_p,r2,adj_r2,cov_type,outcome,ucla_fdr_q,ucla_fdr_sig
wcst_pre_error_slope_mean,208,45.91286300644843,15.859431958668575,2.894987861236292,0.003791731950495169,0.06436081213837086,0.0364312841425013,HC3,WCST Pre-Error RT Slope (Mean),0.4904051943376934,False
wcst_pre_switch_rt_delta_w5,210,-98.36541825408054,35.52079810224198,-2.76923446288984,0.005618818444232911,0.06103865538259612,0.033286103324938865,HC3,WCST Pre-Switch RT Delta (w5),0.4904051943376934,False
wcst_pre_switch_rt_delta_w5_correct,210,-92.95182268278016,34.66284466945953,-2.681598223375978,0.007327140083852678,0.056162996643998264,0.028266336446283957,HC3,"WCST Pre-Switch RT Delta (w5, correct)",0.4904051943376934,False
wcst_rt_slope_within_category,212,-12.583494880840124,4.91474060702158,-2.560357888036322,0.010456441950771075,0.04350681042388427,0.015511887802144297,HC3,WCST RT Slope within Category,0.4904051943376934,False
wcst_tau_slope,43,-451.52692039655756,178.447793607412,-2.530302623914331,0.011396418460407738,0.3483199768900759,0.23970663970508843,HC3,WCST Tau Slope (Q4-Q1),0.4904051943376934,False
wcst_confirmation_rt_mean,209,145.94805245553974,60.8015261639737,2.400401135687566,0.016377114004684654,0.08690757113742287,0.05978601384447502,HC3,WCST Confirmation RT Mean,0.4904051943376934,False
wcst_post_error_rt,211,223.55949988849352,93.29222033697475,2.396335933274916,0.016559905278336798,0.055160877091745775,0.027371491123856062,HC3,WCST Post-Error RT (ms),0.4904051943376934,False
wcst_recovery_rt_lag1,209,210.973005523364,88.39740300268203,2.3866425749743234,0.017003013004900154,0.05021223359593485,0.02200071578195273,HC3,WCST Recovery RT Lag1,0.4904051943376934,False
wcst_pre_switch_rt_delta_w4,210,-87.06325395700543,36.565748072311415,-2.381005682827315,0.017265445598540777,0.05282916816793315,0.024833971167970592,HC3,WCST Pre-Switch RT Delta (w4),0.4904051943376934,False
wcst_recovery_rt_slope,209,-39.40319729583099,16.76065378602646,-2.350934384712479,0.01872633574121529,0.03897854977261117,0.01043335818169866,HC3,WCST Recovery RT Slope,0.4904051943376934,False
wcst_rt_fatigue_slope,212,-85.4917893763721,37.292911610114665,-2.2924407262742346,0.021880224212359575,0.023859272514386687,-0.00471069999738738,HC3,WCST RT Fatigue Slope (Q4-Q1),0.4904051943376934,False
wcst_pre_switch_rt_delta_w4_correct,210,-81.07731099677063,35.42696010090853,-2.288576574615314,0.02210396625528187,0.04861762784998269,0.02049795182584424,HC3,"WCST Pre-Switch RT Delta (w4, correct)",0.4904051943376934,False
wcst_block_pe_initial,212,0.01342335853356617,0.005882758518014264,2.2818136240780538,0.022500346084528507,0.06825882043574383,0.04098834688752162,HC3,WCST Block PE Initial,0.4904051943376934,False
wcst_block_pe_slope,212,-0.0075951996229350165,0.0033717555395922564,-2.2525949861280563,0.02428469754711073,0.07896622828759847,0.05200914228625986,HC3,WCST Block PE Slope,0.4904051943376934,False
wcst_switch_cost_error_k2,209,0.04718382145743304,0.021507742391349994,2.193806332570241,0.028249335384104672,0.06952231259782504,0.04188436148686936,HC3,WCST Switch Cost Error k2,0.4904051943376934,False
wcst_recovery_rt_lag2,209,145.6965584051785,67.27294753026713,2.1657525610815163,0.03033010018198335,0.07148457828222698,0.04390491229060989,HC3,WCST Recovery RT Lag2,0.4904051943376934,False
wcst_rt_slope_correct,212,-1.181325957565961,0.547590950662296,-2.1573146089013706,0.030981159494137184,0.02517421636184325,-0.0033572699885418,HC3,"WCST RT Slope (Overall, correct)",0.4904051943376934,False
