outcome_column,n,ucla_beta,ucla_se,ucla_t,ucla_p,r2,adj_r2,cov_type,outcome,outcome_type,confirm_len,include_errors,use_log,merge_pre
rt_ms_exploration,194,65.86869577008848,67.01709455874243,0.9828640916736946,0.32694425335318045,0.06721834963440032,0.037289526628017544,nonrobust,exploration,phase_mean,2,True,False,False
rt_ms_confirmation,197,188.72624025780743,70.415204590043,2.680191605727353,0.00800440489607424,0.05211631082310364,0.022183141691201502,nonrobust,confirmation,phase_mean,2,True,False,False
rt_ms_exploitation,197,43.42558460817478,38.06587848320915,1.1408007995225908,0.2553887174980875,0.059691643801515926,0.029997695711037387,nonrobust,exploitation,phase_mean,2,True,False,False
exploration_minus_exploitation,194,22.316683943091768,60.42625154417782,0.3693210049075437,0.7123063288105,0.025018446879889855,-0.0062643837015039505,nonrobust,exploration_minus_exploitation,phase_contrast,2,True,False,False
confirmation_minus_exploitation,197,145.30065564963263,56.15504401750308,2.587490726645029,0.010414372205353552,0.04305818232014169,0.012838967024988213,nonrobust,confirmation_minus_exploitation,phase_contrast,2,True,False,False
exploration_minus_confirmation,194,-131.9665597353015,69.56292751960751,-1.897081742255664,0.05935836314236165,0.0413679802325323,0.010609733608977323,nonrobust,exploration_minus_confirmation,phase_contrast,2,True,False,False
