participant_id,wcst_lapse_rate_z25,wcst_lapse_rate_z30,wcst_lapse_run_mean_z25,wcst_lapse_run_max_z25,wcst_lapse_run_mean_z30,wcst_lapse_run_max_z30,wcst_error_run_mean,wcst_error_run_max,wcst_error_rate,wcst_n_trials
06qcrpGKL6Vc3LVplFQC90VAcRm1,0.06097560975609756,0.036585365853658534,1.25,2.0,1.5,2.0,1.8571428571428572,3.0,0.15853658536585366,82
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,0.025974025974025976,0.025974025974025976,1.0,1.0,1.0,1.0,1.375,2.0,0.14285714285714285,77
0d841i8KPjdjwCYfDuUUXj0SEjH2,0.029411764705882353,0.014705882352941176,1.0,1.0,1.0,1.0,1.6,3.0,0.11764705882352941,68
0oa5NYVnIBS9NmrmRAZrahXDctP2,0.027777777777777776,0.027777777777777776,1.0,1.0,1.0,1.0,1.2857142857142858,2.0,0.125,72
146QT9LupyU2BAiTsB3PMIpVXM22,0.025974025974025976,0.025974025974025976,1.0,1.0,1.0,1.0,1.125,2.0,0.11688311688311688,77
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,0.04411764705882353,0.029411764705882353,1.0,1.0,1.0,1.0,1.6,3.0,0.11764705882352941,68
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,0.028169014084507043,0.028169014084507043,1.0,1.0,1.0,1.0,1.2857142857142858,2.0,0.1267605633802817,71
1fbLQPCcysVlSKup96K4yI5NX6G3,0.03296703296703297,0.03296703296703297,3.0,3.0,3.0,3.0,2.4444444444444446,4.0,0.24175824175824176,91
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,0.034482758620689655,0.022988505747126436,1.0,1.0,1.0,1.0,1.125,2.0,0.10344827586206896,87
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,0.0234375,0.0234375,1.0,1.0,1.0,1.0,2.9545454545454546,10.0,0.5078125,128
23AEyocWhqY955WHbxhHRSgQ1ms2,0.03571428571428571,0.023809523809523808,1.0,1.0,1.0,1.0,2.125,6.0,0.20238095238095238,84
23hG7h2ByUZDbmOMTDtp0HT0xRb2,0.03125,0.0234375,1.3333333333333333,2.0,1.0,1.0,2.2857142857142856,10.0,0.375,128
28nQWMwCaSNFBEXlicY3eHqpwKU2,0.022727272727272728,0.022727272727272728,1.0,1.0,1.0,1.0,1.5,4.0,0.17045454545454544,88
2FHuv7L9nWPdbIiWHRIuXtcoyw83,0.028169014084507043,0.014084507042253521,1.0,1.0,1.0,1.0,1.5,3.0,0.1267605633802817,71
2h5FgHUEvBS1twD5DqbTIRrMm1f2,0.061855670103092786,0.05154639175257732,1.0,1.0,1.0,1.0,1.6666666666666667,5.0,0.20618556701030927,97
2zDXvJKvjeejeOSNbtDbtSI5cdz1,0.04225352112676056,0.028169014084507043,1.0,1.0,1.0,1.0,1.5,2.0,0.1267605633802817,71
