segment,loneliness_group,mean_rt,sem_rt,n
shift_trial,Low loneliness (bottom 25%),1346.2991509386256,65.85166460965277,53
shift_trial,High loneliness (top 25%),1597.2400000051166,98.21462997602406,52
post_shift_error,High loneliness (top 25%),2641.6843322501068,179.44438818368835,51
post_shift_error,Low loneliness (bottom 25%),2228.879703951592,104.24858186575271,52
exploration,High loneliness (top 25%),2074.324137181345,109.247615829669,52
exploration,Low loneliness (bottom 25%),1854.9770818235438,86.02438052986042,53
discovery,High loneliness (top 25%),2453.4221153805247,173.42545257021897,52
discovery,Low loneliness (bottom 25%),2115.536792444683,109.71145396793186,53
confirmation,High loneliness (top 25%),1994.8627264241,98.88283133064444,51
confirmation,Low loneliness (bottom 25%),1724.1366871695263,62.454202924600594,53
exploitation,Low loneliness (bottom 25%),1336.4375164781654,42.20255625648884,53
exploitation,High loneliness (top 25%),1430.759982007371,59.29820098381936,51
pre_switch_w5,High loneliness (top 25%),1344.7059607842314,51.22457302202765,51
pre_switch_w5,Low loneliness (bottom 25%),1270.2882935892785,38.13083972239233,53
pre_error,High loneliness (top 25%),1710.3374983907254,156.22885523380944,26
pre_error,Low loneliness (bottom 25%),1582.3825797340871,96.90590210915269,26
stable_error,High loneliness (top 25%),2075.9780319758247,233.16928714956606,33
stable_error,Low loneliness (bottom 25%),1617.1707778849486,102.20855793377247,35
post_error,Low loneliness (bottom 25%),1642.1737417843794,115.74128159984001,35
post_error,High loneliness (top 25%),2133.017853543876,182.79232131347442,33
recovery,High loneliness (top 25%),1533.3790324255374,103.05125457179513,33
recovery,Low loneliness (bottom 25%),1371.7947886844352,71.9869906414688,35
,High loneliness (top 25%),1768.973183361661,89.43529539199001,52
,Low loneliness (bottom 25%),1649.6749975368218,71.57041553744108,52
