segment_order,segment_label,loneliness_group,mean_rt,sem_rt,n
1,C1-Shift,Low loneliness (bottom 25%),1213.409999992638,64.29521201040174,50
1,C1-Shift,High loneliness (top 25%),1239.01698113344,88.58448898885922,53
2,C1-PostErr,Low loneliness (bottom 25%),2397.3474553549863,187.11363380097305,48
2,C1-PostErr,High loneliness (top 25%),2557.285515865191,203.19207173038805,50
3,C1-Explore,Low loneliness (bottom 25%),1719.3670773285348,119.21970360070081,48
3,C1-Explore,High loneliness (top 25%),1604.7276388832852,112.53427785205498,50
4,C1-Confirm,Low loneliness (bottom 25%),1779.453333320192,84.09857637854292,50
4,C1-Confirm,High loneliness (top 25%),2029.39937106084,108.44961549938124,53
5,C1-Exploit,Low loneliness (bottom 25%),1406.8400119314288,40.13715762842975,50
5,C1-Exploit,High loneliness (top 25%),1543.767560127286,50.76653090176721,53
6,C2-Shift,Low loneliness (bottom 25%),1595.0260000037542,135.85188978553816,50
6,C2-Shift,High loneliness (top 25%),1857.0188679188304,193.29484025274664,53
7,C2-PostErr,Low loneliness (bottom 25%),2710.989578545064,163.62448059368177,47
7,C2-PostErr,High loneliness (top 25%),3345.6704710169997,359.577849124208,46
8,C2-Explore,Low loneliness (bottom 25%),1672.4481189599114,135.76297612699224,47
8,C2-Explore,High loneliness (top 25%),1957.0676207679724,193.5516470274599,46
9,C2-Confirm,Low loneliness (bottom 25%),2309.2953333341934,390.71860934979884,50
9,C2-Confirm,High loneliness (top 25%),2184.6182390019526,132.52414873809022,53
10,C2-Exploit,Low loneliness (bottom 25%),1351.8544081994073,52.67234802112356,50
10,C2-Exploit,High loneliness (top 25%),1362.7455774618957,54.583226262500794,53
11,C3-Shift,Low loneliness (bottom 25%),1327.4879999783263,113.99506607849953,50
11,C3-Shift,High loneliness (top 25%),1627.1641509664676,195.59308910393537,53
12,C3-PostErr,Low loneliness (bottom 25%),2551.943940037692,245.1847918983971,45
12,C3-PostErr,High loneliness (top 25%),3221.409669992273,365.0457441117405,47
13,C3-Explore,Low loneliness (bottom 25%),1637.2696794744338,104.98269949595401,45
13,C3-Explore,High loneliness (top 25%),1780.6647326981397,214.38185465674533,47
14,C3-Confirm,Low loneliness (bottom 25%),1794.2800000051188,150.61847373773153,50
14,C3-Confirm,High loneliness (top 25%),2121.161635230187,151.692606723109,53
15,C3-Exploit,Low loneliness (bottom 25%),1255.6631200790573,59.80644358790306,50
15,C3-Exploit,High loneliness (top 25%),1288.9608310743881,53.115616102003116,53
16,C4-Shift,Low loneliness (bottom 25%),1226.4819999842207,76.28011994735031,50
16,C4-Shift,High loneliness (top 25%),1498.3037735898101,138.23843419010697,53
17,C4-PostErr,Low loneliness (bottom 25%),2063.3878416012058,145.81191341712847,46
17,C4-PostErr,High loneliness (top 25%),2808.9215986210083,308.3947870664266,49
18,C4-Explore,Low loneliness (bottom 25%),1427.9036403608575,102.39543611429534,46
18,C4-Explore,High loneliness (top 25%),1571.9026187568527,116.68670796561653,49
19,C4-Confirm,Low loneliness (bottom 25%),1614.257999995763,85.22728105685549,50
19,C4-Confirm,High loneliness (top 25%),2028.092452824175,123.25070048487457,53
20,C4-Exploit,Low loneliness (bottom 25%),1396.840362298084,55.860907099386466,50
20,C4-Exploit,High loneliness (top 25%),1413.1661281961449,57.8391831450505,53
21,C5-Shift,Low loneliness (bottom 25%),1428.6020000181604,80.14925517808203,50
21,C5-Shift,High loneliness (top 25%),1722.7283018759874,189.34608121373023,53
22,C5-PostErr,Low loneliness (bottom 25%),2367.9837301719367,236.52527856315385,46
22,C5-PostErr,High loneliness (top 25%),2492.841847846104,283.32266710816833,46
23,C5-Explore,Low loneliness (bottom 25%),1568.050072471822,103.37524759529732,46
23,C5-Explore,High loneliness (top 25%),1582.9205745187217,89.00195492175143,46
24,C5-Confirm,Low loneliness (bottom 25%),1617.986394572288,93.58660056032295,49
24,C5-Confirm,High loneliness (top 25%),1763.1371069227805,117.32938600017035,53
25,C5-Exploit,Low loneliness (bottom 25%),1180.6424808755194,50.68527436303565,49
25,C5-Exploit,High loneliness (top 25%),1210.3640225862114,55.118657730123324,53
