segment,loneliness_group,mean_rt,sem_rt,n
shift_trial,Low loneliness (bottom 25%),1346.2991509386254,65.85166460965279,53
shift_trial,High loneliness (top 25%),1592.470714290273,92.36740113160144,56
post_shift_error,Low loneliness (bottom 25%),2228.8797039515916,104.24858186575271,52
post_shift_error,High loneliness (top 25%),2613.4256868621314,168.6638661664844,55
exploration,Low loneliness (bottom 25%),1787.3085518813991,80.29289180868305,53
exploration,High loneliness (top 25%),2012.0040297613637,101.53988503848652,56
confirmation,Low loneliness (bottom 25%),1728.7243186575477,63.94397677931527,53
confirmation,High loneliness (top 25%),1972.5371515153563,91.33273681889246,55
exploitation,Low loneliness (bottom 25%),1331.1927178811113,42.22537526834622,53
exploitation,High loneliness (top 25%),1360.5273333347463,38.2750393500921,55
pre_switch_w5,Low loneliness (bottom 25%),1275.8043773498991,36.37680642721807,53
pre_switch_w5,High loneliness (top 25%),1358.5046785703769,43.77248650551231,56
pre_switch_w4,Low loneliness (bottom 25%),1263.3249528231454,36.19564354264645,53
pre_switch_w4,High loneliness (top 25%),1350.231517855357,43.510280320279044,56
pre_switch_w3,Low loneliness (bottom 25%),1245.0391823827492,36.12493621974363,53
pre_switch_w3,High loneliness (top 25%),1334.8544047595592,43.01629849173118,56
pre_switch_w2,Low loneliness (bottom 25%),1233.3627830098885,38.91440244520899,53
pre_switch_w2,High loneliness (top 25%),1322.9130357113063,42.60949954552717,56
pre_switch_w1,Low loneliness (bottom 25%),1242.1796226302297,45.1229976525205,53
pre_switch_w1,High loneliness (top 25%),1319.2476785689817,44.75733870992868,56
