participant_id,category_num,phase,mean_log_rt,n_trials
06qcrpGKL6Vc3LVplFQC90VAcRm1,1.0,exploitation,6.81322451321787,7
06qcrpGKL6Vc3LVplFQC90VAcRm1,1.0,exploration,7.64171047617983,4
06qcrpGKL6Vc3LVplFQC90VAcRm1,1.0,confirmation,7.2234403712776905,3
06qcrpGKL6Vc3LVplFQC90VAcRm1,2.0,exploitation,6.862787622851679,7
06qcrpGKL6Vc3LVplFQC90VAcRm1,2.0,exploration,7.0342046759157775,3
06qcrpGKL6Vc3LVplFQC90VAcRm1,2.0,confirmation,7.13613195564879,3
06qcrpGKL6Vc3LVplFQC90VAcRm1,3.0,exploitation,6.781938741271422,7
06qcrpGKL6Vc3LVplFQC90VAcRm1,3.0,exploration,6.797828799593553,1
06qcrpGKL6Vc3LVplFQC90VAcRm1,3.0,confirmation,7.03427916939324,3
06qcrpGKL6Vc3LVplFQC90VAcRm1,4.0,exploitation,6.708038378789106,7
06qcrpGKL6Vc3LVplFQC90VAcRm1,4.0,exploration,6.634440165739061,2
06qcrpGKL6Vc3LVplFQC90VAcRm1,4.0,confirmation,7.294612601888956,3
06qcrpGKL6Vc3LVplFQC90VAcRm1,5.0,exploitation,6.833217451365461,7
06qcrpGKL6Vc3LVplFQC90VAcRm1,5.0,exploration,6.982041301629064,2
06qcrpGKL6Vc3LVplFQC90VAcRm1,5.0,confirmation,6.67532605150483,3
06qcrpGKL6Vc3LVplFQC90VAcRm1,6.0,exploitation,6.723229304339038,15
06qcrpGKL6Vc3LVplFQC90VAcRm1,6.0,exploration,6.856591541220653,2
06qcrpGKL6Vc3LVplFQC90VAcRm1,6.0,confirmation,6.7695102961102895,3
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,1.0,exploitation,6.85057040172429,7
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,1.0,exploration,,0
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,1.0,confirmation,7.843852849712898,3
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,2.0,exploitation,6.86034801910974,11
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,2.0,exploration,7.7677295953774275,1
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,2.0,confirmation,7.062902704815514,3
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,3.0,exploitation,7.0236269285621855,7
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,3.0,exploration,7.169468778535198,7
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,3.0,confirmation,7.073937363005538,3
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,4.0,exploitation,6.9718902933542735,7
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,4.0,exploration,7.137955318351732,3
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,4.0,confirmation,6.73389858824243,3
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,5.0,exploitation,6.951951634769936,7
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,5.0,exploration,7.153129879137741,1
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,5.0,confirmation,6.957841473622373,3
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,6.0,exploitation,6.853543045813857,7
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,6.0,exploration,7.88897195693511,1
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,6.0,confirmation,7.419880053094251,3
0d841i8KPjdjwCYfDuUUXj0SEjH2,1.0,exploitation,6.996866481328918,7
0d841i8KPjdjwCYfDuUUXj0SEjH2,1.0,exploration,7.75126169659238,3
0d841i8KPjdjwCYfDuUUXj0SEjH2,1.0,confirmation,7.868318251205973,3
0d841i8KPjdjwCYfDuUUXj0SEjH2,2.0,exploitation,7.046828039459049,7
0d841i8KPjdjwCYfDuUUXj0SEjH2,2.0,exploration,7.107561955449476,2
0d841i8KPjdjwCYfDuUUXj0SEjH2,2.0,confirmation,7.238797059947207,3
0d841i8KPjdjwCYfDuUUXj0SEjH2,3.0,exploitation,7.311504612057532,7
0d841i8KPjdjwCYfDuUUXj0SEjH2,3.0,exploration,6.642877859432199,1
