participant_id,wcst_exg_mu,wcst_exg_sigma,wcst_exg_tau,wcst_exg_correct_mu,wcst_exg_correct_sigma,wcst_exg_correct_tau
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,645.9242863186295,10.0,1011.9389342003096,645.4607005201469,10.0,946.6258973895646
rFV2EUbp64f5ORSh7DqwmCQmeqT2,800.2821305845939,111.17884819400327,983.3575484474779,879.1221993045598,159.96856310153083,674.0629135469492
rNe3cRPepZUXbJhmmfQZiGsVzX22,834.0842347475008,131.08796001089104,797.3159376548642,849.8965812991562,139.56634130120574,682.9893584333238
rUuJv5gl7dWVo7UPQWMx4bohxhK2,817.3347420803407,78.13756417619454,1197.3249535653808,823.1660106727237,89.92720109771298,1104.2210697862813
roaf78tUWxWSEjAUcUu8O7mrQbl1,736.7554899406898,91.47370644892382,921.5762786606809,584.5024040028135,10.0,1034.149915115007
s48aCkolCSNbBRSSRPle0r61a7H2,265.64232821381364,54.28226750602783,1494.813028906821,275.12751247835183,10.0,1766.0145206904226
s5gTyWKzfkdHXNT3qicwPmdONYv1,996.5918057662426,154.5741513324474,484.44415588142624,983.2716448377063,151.3517775211213,467.86275911584823
sqfXvh6GJLaYAqr3RvHrixP8IOx1,863.2289809617062,13.404738648637343,1059.6832297475332,859.7168488713307,10.0,932.9894071045395
ssPK6ISW0HerTGke9hznqJ2LpKu1,782.5338341624698,40.33006955322926,579.5374437671235,786.0383240566216,45.169028236949366,575.3342167127014
tB4wPBbnWJUXeOC3Zxjph0Esgjf1,1131.0240765036574,128.0033993018892,886.3088150822472,1177.4283233519527,161.01336693393236,824.5004180574317
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,961.7407725323684,17.136978787650314,657.143025859138,960.2823410509783,16.554047706312353,635.1437515093307
tv88wS5Nf6SjruozSmXJxQSmx6J3,666.7127218632519,10.0,1442.2943812771518,1228.2819405291418,270.56987599080446,754.0153979022629
u64Uf920g5VD9Byq26LT2rs5o4t1,836.3133398386317,93.53641863188929,634.4350451933783,727.2129864715657,10.0,666.4047959044948
uM3kxG78g5ZtXtbAEzZyM4XFmaI3,921.5429570327028,132.42234028497538,873.4183718424681,912.4623958102009,83.4106357913928,663.1171297433381
v8nNKiWvPdcjiHXZci39OuFTY6M2,843.2107513228035,10.0,1552.2238485593227,1084.470751881045,259.04311349448136,1035.5021053883459
wdppvL4tIkVlGjou6aYzzjlaZXB2,467.4151324780977,269.5814730286151,890.8513134342825,464.98804004313354,231.81722580430062,769.4224431196079
wkhxvE50megJGMA1EiROSZIJWNq1,910.0835957081196,10.0,987.8604374553078,1006.3749722949211,87.62161462332159,637.6387206484836
xBGZhFOeypWnqzSQClkrwV9z2vF3,776.9814999107872,95.17092844976393,507.8936330662221,827.6645473945487,126.24303165609014,387.3807736174389
xFaL2YdAmJcWA8oTLXhVCHNqt0K3,558.2520170452619,62.14872851443803,485.17231167853765,557.2341735524774,62.866514291820835,422.57240498615494
xHctBv4C2EU8rHYRouw0btT3GT02,843.1723802833179,105.93261763208874,815.1973059181613,849.0463907713869,108.89760984058029,696.583554585415
xyAILKfYP2M8GqAai11x6NT7IcP2,614.9385968521292,10.0,878.0859509547297,656.3234394902556,43.78353472470138,626.7370124007854
y1EHXv8tUTa4BRS4fRio7bULYfA2,839.8687608978682,154.5800160995757,885.1272052794477,824.9271898712988,154.17767697101775,735.8660349885222
yGTid3RXTdQe5JNosdSxvgktWIW2,1272.1084527494,234.2631393943971,1113.0902344293781,1259.1287433970617,244.48263155315277,1058.1891133955182
yatBVTBMCSMp0wJluOCLzTFKMyP2,819.4353970561847,135.98644676546337,916.0737002945309,544.3868573727534,10.0,950.9915483893235
yfjd8LbAMrYeG54927d3GiKAyXI2,756.6318101180575,124.17902855998734,714.2628421290854,786.3419741849751,150.22285991758406,553.0970932927765
zw1w9FipI9RjJsuhHse6UZavBxs2,712.134819875067,99.06801957520976,545.5791511798179,757.4664590663668,108.36859245395237,404.10713301032513
zxG9mUnF7uRkaOKSoCPsiRZzr372,964.5874635146881,169.11181710475128,980.496444913513,683.0140672792751,10.0,1116.0803227018223
