loneliness_group,pred_mean,ci_low,ci_high,se,panel
Low,2365.796581214724,2152.436194825738,2579.15696760371,108.85733999438062,simple
Medium,2208.9833154615803,1999.7015688379392,2418.2650620852214,106.77640133859241,simple
High,2610.0541591905117,2391.7442505177128,2828.3640678633105,111.38260646571365,simple
Low,2417.0649072549195,2254.190622926772,2579.939191583067,83.09912465721807,adjusted_overall_rt
Medium,2287.925491521699,2127.8626934821164,2447.9882895612814,81.66469287733803,adjusted_overall_rt
High,2488.873948302534,2321.2899248924455,2656.457971712622,85.50205276024907,adjusted_overall_rt
