outcome_column,n,ucla_beta,ucla_se,ucla_t,ucla_p,r2,adj_r2,cov_type,outcome,outcome_type,confirm_len,min_trials,include_errors
rule_search_rt_mean,196,111.50083609716336,53.824343230240174,2.0715689111189888,0.03966369213208894,0.061165312390986326,0.03136103659387468,nonrobust,rule_search_rt_mean,phase_mean,10,0,True
rule_application_rt_mean,196,52.01359068459382,30.607923190623325,1.6993505361555559,0.09089841322942428,0.10688663355218042,0.07853382826812261,nonrobust,rule_application_rt_mean,phase_mean,10,0,True
rule_search_minus_application,195,58.779049605389886,41.8464364757381,1.4046369190712105,0.16177931481067062,0.044895907034241844,0.014413861514058102,nonrobust,rule_search_minus_application,phase_contrast,10,0,True
