phase,loneliness_group,mean_rt,sem_rt,n
exploration,Low loneliness (bottom 25%),2014.9264890051809,74.97057335680036,49
exploration,High loneliness (top 25%),2152.511603056838,90.27396708334877,52
confirmation,Low loneliness (bottom 25%),1839.477111109548,62.042352509128946,50
confirmation,High loneliness (top 25%),2045.684722219681,91.99953082159477,52
exploitation,Low loneliness (bottom 25%),1382.0617717302935,43.711552384548455,50
exploitation,High loneliness (top 25%),1437.8065680147338,56.14428444659791,52
