participant_id,mu_bottleneck,sigma_bottleneck,tau_bottleneck
06qcrpGKL6Vc3LVplFQC90VAcRm1,239.02129955953689,39.074386100603576,102.30089469468905
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,205.02169006641464,23.93793763757504,247.59477447616
0d841i8KPjdjwCYfDuUUXj0SEjH2,285.7477636320273,18.235931135205977,276.9703523584428
0oa5NYVnIBS9NmrmRAZrahXDctP2,4.846592807703587,-68.43789147337891,331.93032778296174
146QT9LupyU2BAiTsB3PMIpVXM22,156.79347252455506,-13.311380307675932,309.19275657279854
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,544.0122322047393,161.92037977290968,-117.84369675907067
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,727.9594518133165,189.2825726092242,57.0088012827232
1fbLQPCcysVlSKup96K4yI5NX6G3,313.0759573621151,53.25029584113334,256.0756384814006
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,676.8044606468468,149.4284401755236,-75.86347757368071
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,330.9416060978819,68.59425108765438,-17.94097707314785
23AEyocWhqY955WHbxhHRSgQ1ms2,285.60930356350275,76.15702179966864,65.07725344228805
2FHuv7L9nWPdbIiWHRIuXtcoyw83,461.2220382120876,114.53040927233936,41.48430893179756
2h5FgHUEvBS1twD5DqbTIRrMm1f2,690.432862397306,235.12624170672643,-130.85278792785735
2zDXvJKvjeejeOSNbtDbtSI5cdz1,676.9720141884686,155.44995743477568,27.355282246652706
3FSnTCSiUodLp5u3bE0xaUjLk0b2,481.1211894026838,80.62872249608188,152.98891882583368
3WijiOiVCoMbn80F05SPYsxl0TC2,455.3436694361845,19.527119947287403,71.18064653139209
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,463.5704906944689,206.16407540960222,-74.44858532459145
3xCaqfcHxRQxuOlEzXz3PNcHODH2,202.44937504397416,19.627998584271374,297.460137616575
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,713.0821496400914,224.54174308050767,-19.148454631777554
50R0P1MIMvRvK1qpqfGROchII6R2,255.83171483254932,4.700285666088959,164.9090980771051
5OOi73igsahMZ5IVKQwwyhnj4Cn2,232.14711163831458,28.952409865651113,102.45380308419095
5Z68AKm9rIeeB2lVu3nJO7U31wk1,382.70159768314244,184.7241287472929,230.20773936443533
5rXSa3anB5ejmFrnwUsTB82byup1,474.110031651589,132.29420277700527,-184.1789982871651
5zxa5CMLGQSSonWOXqXf0QNS3PH3,296.67648656038125,43.12520558057599,235.60731615360712
62fAfeQc27bZelkPX7G54T3gvci2,493.40188078122094,-19.737572301008612,212.12024412646076
