participant_id,short_mu,short_sigma,short_tau,short_n,long_mu,long_sigma,long_tau,long_n,overall_mu,overall_sigma,overall_tau,overall_n
06qcrpGKL6Vc3LVplFQC90VAcRm1,694.6963669436697,117.09091973453205,122.38137829838308,48.0,455.6750673841328,78.01653363392846,20.08048360369404,24.0,606.8386484036772,192.16694092409674,96.46330998875939,72.0
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,537.4941618783062,28.93793763757504,336.8798461386532,48.0,332.4724718118915,5.0,89.28507166249318,24.0,330.8336270324972,5.0,392.65235067652793,72.0
0d841i8KPjdjwCYfDuUUXj0SEjH2,597.8297876487328,42.915745739499734,486.04858807502904,48.0,312.08202401670553,24.67981460429375,209.0782357165862,24.0,411.9272043923862,119.99506233757255,484.3914155065406,72.0
0oa5NYVnIBS9NmrmRAZrahXDctP2,415.4250813861389,5.0,431.47528763836783,48.0,410.5784885784353,73.43789147337891,99.54495985540608,24.0,402.6440284175362,67.449152458241,332.00999085477486,72.0
146QT9LupyU2BAiTsB3PMIpVXM22,506.8913166752413,66.20792428869716,485.5464256572431,48.0,350.0978441506862,79.51930459637309,176.35366908444453,24.0,391.4596105428412,97.50609861890061,445.65768721882216,72.0
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,819.4679592232676,166.92037977290968,198.57574384851054,48.0,275.4557270185283,5.0,316.4194406075812,24.0,732.2624528878696,301.1041259167976,143.7354382924541,72.0
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,1312.1876655459628,268.4166762168291,361.0614417509887,48.0,584.2282137326463,79.1341036076049,304.0526404682655,24.0,1085.386517918245,439.6850836069507,326.2068332226917,72.0
1fbLQPCcysVlSKup96K4yI5NX6G3,666.8884547420697,58.25029584113334,431.9888685600843,48.0,353.8124973799546,5.0,175.9132300786837,24.0,353.6490456613305,5.0,555.4701567204781,72.0
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,1168.1826483036782,154.4284401755236,371.3764807823185,47.0,491.3781876568314,5.0,447.23995835599914,24.0,968.4835856851261,356.8581475945314,367.9815633527659,71.0
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,626.492966234448,101.93324118860785,278.84118039938227,48.0,295.5513601365661,33.33899010095346,296.7821574725301,24.0,503.194581433744,179.63278563368294,297.806726642721,72.0
23AEyocWhqY955WHbxhHRSgQ1ms2,499.57727871933696,81.15702179966864,490.31722785238856,47.0,213.96797515583424,5.0,425.2399744101005,24.0,393.57552623879496,93.73965156751933,477.7245813397301,71.0
2FHuv7L9nWPdbIiWHRIuXtcoyw83,762.440780164512,119.53040927233937,396.8124277324332,43.0,301.2187419524244,5.0,355.32811880063565,22.0,545.7491178086665,225.24203268304183,443.38433435512746,65.0
2h5FgHUEvBS1twD5DqbTIRrMm1f2,925.2717806489588,240.12624170672643,157.4690541605735,47.0,234.83891825165273,5.0,288.32184208843086,24.0,782.1312862235113,380.2962444495816,111.5031538354273,71.0
2zDXvJKvjeejeOSNbtDbtSI5cdz1,1220.3911920464602,236.06776811526683,178.10488200125,48.0,543.4191778579916,80.61781068049115,150.74959975459728,24.0,1120.7965353066547,423.7250091361848,42.93569110605561,72.0
3FSnTCSiUodLp5u3bE0xaUjLk0b2,844.6444453472196,193.02809824956418,316.4919374881437,48.0,363.52325594453583,112.39937575348229,163.50301866231004,24.0,646.2124557332659,311.99663358853286,303.49377395050755,72.0
3WijiOiVCoMbn80F05SPYsxl0TC2,815.7271053398055,89.300410647071,274.89867585339897,48.0,360.383435903621,69.7732906997836,203.71802932200688,24.0,798.8623560716325,326.12718275898425,116.26255413167125,72.0
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,899.3612155344657,239.09566526292411,8.693852395574977,48.0,435.79072483999676,32.93158985332185,83.14243772016643,24.0,625.0790411908207,232.20433259248006,153.26004755722892,72.0
3xCaqfcHxRQxuOlEzXz3PNcHODH2,501.55722334095856,65.09307324245557,405.5072273581949,47.0,299.1078482969844,45.4650746581842,108.04708974161987,24.0,296.0649182465568,47.600878677443895,442.03335011577445,71.0
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,946.6903868014426,229.54174308050767,335.303607625054,48.0,233.60823716135118,5.0,354.45206225683154,23.0,621.0425293131538,318.4847134784508,436.0966463064183,71.0
50R0P1MIMvRvK1qpqfGROchII6R2,661.7476095027014,69.84045949549626,420.00862128741585,48.0,405.91589467015206,65.1401738294073,255.09952321031076,24.0,526.9948610090557,136.29181550389697,414.52829896199626,72.0
5OOi73igsahMZ5IVKQwwyhnj4Cn2,590.2658631703389,33.95240986565111,346.8826338717501,48.0,358.1187515320243,5.0,244.42883078755915,24.0,493.1926768748444,119.45816543835286,332.42477193801255,72.0
5Z68AKm9rIeeB2lVu3nJO7U31wk1,683.2977431592665,218.66197695431586,343.89323772646213,48.0,300.59614547612404,33.937848207022945,113.68549836202682,24.0,289.1911790309961,30.983274459586205,533.6822092139527,72.0
5rXSa3anB5ejmFrnwUsTB82byup1,836.517565375775,137.29420277700527,236.08589142931797,48.0,362.407533724186,5.0,420.2648897164831,24.0,698.4316790649748,204.70017829748366,277.5246494101216,72.0
5zxa5CMLGQSSonWOXqXf0QNS3PH3,677.9378594961809,87.06751821197727,401.0867631596615,48.0,381.2613729357996,43.942312631401286,165.47944700605436,24.0,480.4199634674422,135.33061932509744,421.188472494263,72.0
62fAfeQc27bZelkPX7G54T3gvci2,1195.824790448602,158.4290588270679,319.156609811622,48.0,702.4229096673811,178.16663112807652,107.03636568516123,24.0,974.290296859251,344.1833874342098,305.50974861543,72.0
6ABZuv4jbjgE0B8TeyUk6nwVb122,1204.8413261894677,226.8126550615228,239.7068680232522,48.0,426.80967655481163,102.12488009870901,279.7134003049964,24.0,1034.7386712441948,439.50909488648097,163.8039636698458,72.0
6OwhwWQDThSPHTVAeXugohrYuje2,1740.2246687316444,476.0235217154952,14.889542312570757,47.0,429.2505318474912,5.0,475.55365650182296,24.0,1440.0627594182656,643.7487371383653,27.762684491243775,71.0
6WFCyGwk71XLPBmbe4Vav3eotVm1,446.34942863417746,73.73119134867122,394.2043316504383,48.0,383.6732425389397,51.29009627331523,91.29264490954226,23.0,365.14019599804504,38.394900472050054,356.9489184033724,71.0
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,800.8360692559914,133.48787974963687,409.1133189048146,48.0,427.5144004653956,105.82645077051745,51.82058658965723,24.0,367.6482482117906,91.70297650660946,598.7878371449569,72.0
87w5Le0CgZhSfYAaOH3Xd2fc98l1,959.9546520447092,105.06505177008724,550.112844808723,48.0,777.8288962673181,192.16738892863216,37.112974942273205,24.0,760.2629917323887,211.64947403533284,518.0950418060336,72.0
8bwaafIhKVMNBoHaXFcY8HirS9u2,926.0194954951676,194.22035649426542,93.31394601136871,48.0,402.5965528890406,69.21997588703147,112.16772745217573,24.0,821.9735421058059,304.0502767745919,29.167887932963414,72.0
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,1320.4797787159857,245.20451325444824,264.1746049794678,48.0,580.3299051948388,51.08538747353055,263.8750805215891,24.0,1072.4698766597744,397.87928032508233,265.3066031721805,72.0
8mscvscxtXf7EbbLqCyy4a4pl2q2,1105.9805419556913,302.6980252764108,262.1696326302975,47.0,424.85580559358203,43.38672838965019,220.254953331129,24.0,821.4394725374473,400.4947972329952,302.3403517813706,71.0
