gender,parameter,n,r,p,mean,sd
male,mu_interference,27,0.12703463062024534,0.5277639950186628,44.639598394927916,112.97393102531173
male,sigma_interference,27,0.09110979322714155,0.651297233762113,33.178422234678244,77.26797490816166
male,tau_interference,27,-0.041405160900259065,0.8375294374004312,86.22476215957704,112.56877889301667
female,mu_interference,45,-0.05051216641418955,0.7417617817066254,90.45681053026749,126.96736633466895
female,sigma_interference,45,-0.07865310930483516,0.6075522739279224,45.15566583703245,67.94149143297417
female,tau_interference,45,0.05223617835929347,0.7332668686573791,61.39690147401143,122.70596639606973
