participant_id,alpha,beta,phi,neg_log_lik,n_trials,ucla_total,gender_male,pe_rate,wcst_accuracy
GE4hogtdLdTFbNasENgtm6SO3hC3,0.04404325695101792,19.99999066072288,0.999997679942359,1.0993810077148725,67,56.0,0.0,4.477611940298507,89.55223880597015
ORvIk1xRWIQmKuLVe6GXNouvAXx2,0.045150433101388734,19.999989303539024,0.9999960284044547,1.0990550013869158,101,54.0,0.0,16.831683168316832,76.23762376237624
80UJMJbCOMgs6YVpsMgXfYTzw6o2,0.03254449311160648,19.99991886452611,0.9999874814621089,1.0998467886667567,71,56.0,0.0,7.042253521126761,85.91549295774648
rUuJv5gl7dWVo7UPQWMx4bohxhK2,0.08117396945268618,19.99999845609632,0.9999998042634748,1.0987773820218742,89,43.0,0.0,10.112359550561797,83.14606741573034
xyAILKfYP2M8GqAai11x6NT7IcP2,0.045613823073167845,19.999990522442822,0.9999997624789474,1.0994067341408362,81,35.0,1.0,9.876543209876544,83.9506172839506
pcbRW89vVJcviD87V3uxyG4I9st2,0.26530323710086856,19.999998390503826,0.999999866279681,1.0986265436386853,71,33.0,1.0,2.8169014084507045,94.3661971830986
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,0.004782839377056173,19.999938519831957,0.9999427088084925,1.1060821613256229,98,42.0,0.0,6.122448979591836,71.42857142857143
yatBVTBMCSMp0wJluOCLzTFKMyP2,0.05146127607456672,19.999998947199046,0.9999258981666517,1.0999936747759425,91,35.0,0.0,10.989010989010987,73.62637362637363
u64Uf920g5VD9Byq26LT2rs5o4t1,0.07532717889668925,19.999955771006242,0.9999975463211823,1.0990257285409073,107,34.0,1.0,13.084112149532707,84.11214953271028
nT1qJOiMyDdJ9ui4el195A8Hsgs1,0.1042271555308544,19.999998168304764,0.9999862050293684,1.0986950681078784,79,62.0,0.0,8.860759493670885,88.60759493670885
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,0.08592559781576059,19.999986048631712,0.9999670746850432,1.098742056114502,119,40.0,1.0,8.403361344537815,85.71428571428571
2h5FgHUEvBS1twD5DqbTIRrMm1f2,0.06858595000316314,19.999986893244234,0.9999976346944974,1.0990161271264445,99,65.0,1.0,13.131313131313131,77.77777777777779
lpzDdvuMkKWkPxu6xeclmdctEp42,0.07533103889958565,19.99999812581717,0.9999961613722658,1.0991595162091032,84,52.0,0.0,10.714285714285714,84.52380952380952
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,0.05035449754806541,19.99965253641104,0.9999979837985618,1.0994481377202487,79,23.0,0.0,11.39240506329114,79.74683544303798
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,0.038759118008241736,19.999999415641298,0.9999981359109991,1.100131270478853,82,38.0,1.0,10.975609756097562,80.48780487804879
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,0.024161383549332227,19.999965015206172,0.9999980884781503,1.1004068021689464,76,57.0,0.0,7.894736842105263,84.21052631578947
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,0.14098057215932425,19.99999997047427,0.9999995557137721,1.0986762865299735,69,64.0,1.0,10.144927536231885,88.40579710144928
LliUMEIsrCVZ88YFQfevan2Og4z1,0.07317801647303807,19.999979342161723,0.9999996663253208,1.0989553573407176,97,28.0,1.0,13.402061855670103,81.44329896907216
EUhcW9kURScie1DwGPHqmNqotJB2,0.00958881683213457,19.99998979761596,0.999894652031975,1.1063212908508824,128,36.0,0.0,32.03125,60.15625
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,0.06743252441417572,19.999989085704243,0.9999970907034895,1.0989490487849283,119,54.0,0.0,10.92436974789916,79.83193277310924
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,0.01481473961466671,19.999996534439916,0.9999756411153393,1.101841970205351,126,54.0,1.0,15.873015873015872,66.66666666666666
wdppvL4tIkVlGjou6aYzzjlaZXB2,0.0017540150335607699,19.99999523579524,0.9998401009990807,1.1095514501260413,128,44.0,1.0,23.4375,41.40625
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,0.07513366494159679,19.99999962365998,0.9999706418087412,1.098980564747731,64,41.0,0.0,3.125,93.75
K26uNuY0VNPjJNF26wEx3bFg0kr2,0.17355626529011764,19.99999314447087,0.9999999886192175,1.0986482607113175,70,43.0,0.0,10.0,90.0
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,0.06646467699969709,19.99992195666124,0.9999974258641824,1.0988124233534973,85,29.0,0.0,16.470588235294116,82.35294117647058
DPvStUYSmohmXwFwaKRqHv89R3k1,0.2785539169381801,19.99999891657629,0.9999989002015663,1.0986241267572936,63,52.0,1.0,4.761904761904762,95.23809523809524
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,0.014197805419984718,19.9999877739102,0.9999826594299086,1.1030799941066816,93,39.0,0.0,7.526881720430108,74.19354838709677
62fAfeQc27bZelkPX7G54T3gvci2,0.06326313239407358,19.999997494576938,0.9972203655534828,1.0992422466051208,70,49.0,0.0,8.571428571428571,88.57142857142857
q0Atnpm0jZS5swcVmq0EMalQUKw1,0.027883742889453014,19.9999104621412,0.9999675374544159,1.0998043559331452,71,24.0,0.0,7.042253521126761,85.91549295774648
kR2rCtaPyPaj7YMizKUDn5xL2qx1,0.06539725072410628,19.9999868229311,0.9999975177842901,1.0992690766778044,84,53.0,1.0,11.904761904761903,83.33333333333334
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,0.07614067096916821,19.99998766042438,0.9999996827794846,1.0990514403996958,73,59.0,0.0,10.95890410958904,84.93150684931507
mwsliuPsLFhRFjtjQwYkqcCRDvi2,0.08371253606572213,19.999936204106508,0.9999999030237758,1.0991358124457005,72,49.0,1.0,9.722222222222223,86.11111111111111
iKVZi0Oo96UrMBhPQMHWFcf55uA3,0.04385164525216584,19.999996924703368,0.9999998624480455,1.0993794842960072,68,33.0,1.0,5.88235294117647,88.23529411764706
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,0.15209936447798866,19.999999162782196,0.9999981980882902,1.0987933511828065,71,34.0,1.0,8.450704225352112,88.73239436619718
ssPK6ISW0HerTGke9hznqJ2LpKu1,0.12665618663574962,19.999999255559693,0.9999924051509941,1.0987026851894628,83,41.0,1.0,9.63855421686747,84.33734939759037
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,0.04588051340315066,19.999985609373226,0.999998457107129,1.0993999319442282,79,40.0,1.0,8.860759493670885,88.60759493670885
5zxa5CMLGQSSonWOXqXf0QNS3PH3,0.08185152926748666,19.999959229467173,0.9999995491265081,1.0991264975601749,87,54.0,1.0,8.045977011494253,85.0574712643678
h5RYP03wJuVN0xo7qAR8CKFxLaj1,0.003950525014291571,19.99998427909084,0.99997626793256,1.1092283010010133,126,29.0,0.0,7.936507936507936,65.07936507936508
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,0.026384965213120552,19.99999482266896,0.9999928935427089,1.1007201876148176,91,30.0,1.0,12.087912087912088,78.02197802197803
v8nNKiWvPdcjiHXZci39OuFTY6M2,0.046735832182536324,19.999984794654402,0.9999959740428526,1.0994203996439267,76,31.0,0.0,11.842105263157894,82.89473684210526
LSLmd8jENtONZFVkIpRDX665Bu73,0.07088149835878385,19.999997435824753,0.9999998135752511,1.0990322060781452,82,20.0,0.0,10.975609756097562,81.70731707317073
mUZzgdWKnPb2txOkJg9FHgqX5792,0.05967991699134567,19.999998405190105,0.9999979400060508,1.100007046540077,107,33.0,0.0,14.95327102803738,76.63551401869158
WbOfW9KmUkPQK8o5hlHJnJFdpp92,0.03040642455104898,19.999986538093694,0.9999978728912874,1.1004963086589636,98,22.0,1.0,6.122448979591836,82.6530612244898
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,0.060480882031872185,19.999994986567224,0.9999983655094062,1.0994014471044882,72,32.0,0.0,8.333333333333332,86.11111111111111
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,0.07673074173657199,19.999999652616793,0.999902592281335,1.0989865701479868,82,50.0,0.0,8.536585365853659,89.02439024390245
fEq0OghbLpfD1jigl1Mbz96aMbg2,0.039062906490587315,19.999970430757244,0.9999986024566314,1.0994599058787724,88,31.0,0.0,21.59090909090909,76.13636363636364
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,0.07791864202345042,19.999997950066714,0.9999993486092029,1.0990009418529472,74,49.0,1.0,8.108108108108109,86.48648648648648
cEIs6U87xfbSL5eFTXDK77MmvNf1,0.0671466032012967,19.999864846562062,0.999997590802364,1.0990231729033175,103,62.0,1.0,10.679611650485436,84.46601941747572
