participant_id,ucla_total,gender,age,pe_run_length,pe_max_run,pe_num_runs,npe_run_length,npe_max_run,npe_num_runs,error_run_length,error_max_run,error_num_runs,p_error_given_error,p_error_given_correct,cascade_tendency,n_trials,gender_coded,z_ucla,z_age,ucla_x_gender
pcbRW89vVJcviD87V3uxyG4I9st2,33.0,male,18,1.0,1,2,1.0,1,2,1.0,1,4,0.0,0.06060606060606061,-0.06060606060606061,71,1,-0.7165774463270926,-1.1643332495580518,-0.7165774463270926
q0Atnpm0jZS5swcVmq0EMalQUKw1,24.0,female,21,1.0,1,5,1.6666666666666667,3,3,1.6666666666666667,3,6,0.4,0.08333333333333333,0.3166666666666667,71,-1,-1.4519250260710734,0.3127066441670207,1.4519250260710734
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,40.0,male,19,1.0,1,7,2.0,2,1,1.125,2,8,0.1111111111111111,0.10144927536231885,0.009661835748792258,79,1,-0.14464043985955205,-0.671986618316361,-0.14464043985955205
rUuJv5gl7dWVo7UPQWMx4bohxhK2,43.0,female,20,1.125,2,8,1.2,2,5,1.6666666666666667,4,9,0.4,0.1232876712328767,0.2767123287671233,89,-1,0.10047542005510819,-0.17963998707467013,-0.10047542005510819
ric6cNjG25XmZJCiKZDOxzeezao1,44.0,male,19,2.0,9,9,1.4,3,5,2.0833333333333335,9,12,0.52,0.14864864864864866,0.37135135135135133,100,1,0.18218070669332828,-0.671986618316361,0.18218070669332828
roaf78tUWxWSEjAUcUu8O7mrQbl1,58.0,female,19,1.2857142857142858,2,7,1.0,1,3,1.5,3,8,0.3333333333333333,0.12307692307692308,0.21025641025641023,78,-1,1.3260547196284094,-0.671986618316361,-1.3260547196284094
ssPK6ISW0HerTGke9hznqJ2LpKu1,41.0,male,20,1.0,1,8,1.0,1,5,1.4444444444444444,3,9,0.3076923076923077,0.13043478260869565,0.17725752508361206,83,1,-0.06293515322133196,-0.17963998707467013,-0.06293515322133196
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,65.0,female,20,1.0,1,5,1.0,1,1,1.2,2,5,0.16666666666666666,0.08064516129032258,0.08602150537634408,69,-1,1.89799172609595,-0.17963998707467013,-1.89799172609595
u64Uf920g5VD9Byq26LT2rs5o4t1,34.0,male,21,1.1666666666666667,2,12,1.0,1,3,1.4166666666666667,4,12,0.29411764705882354,0.12359550561797752,0.17052214144084601,107,1,-0.6348721596888726,0.3127066441670207,-0.6348721596888726
v8nNKiWvPdcjiHXZci39OuFTY6M2,31.0,female,20,1.5,3,6,1.3333333333333333,2,3,1.8571428571428572,4,7,0.46153846153846156,0.0967741935483871,0.36476426799007444,76,-1,-0.8799880196035328,-0.17963998707467013,0.8799880196035328
wdppvL4tIkVlGjou6aYzzjlaZXB2,44.0,male,18,1.4285714285714286,4,21,2.5,13,18,3.9473684210526314,17,19,0.7567567567567568,0.3584905660377358,0.398266190719021,128,1,0.18218070669332828,-1.1643332495580518,0.18218070669332828
xBGZhFOeypWnqzSQClkrwV9z2vF3,43.0,male,22,1.1428571428571428,2,7,1.2,2,5,1.5555555555555556,3,9,0.35714285714285715,0.14285714285714285,0.2142857142857143,78,1,0.10047542005510819,0.8050532754087116,0.10047542005510819
xyAILKfYP2M8GqAai11x6NT7IcP2,35.0,male,24,1.1428571428571428,2,7,1.6666666666666667,2,3,1.625,3,8,0.38461538461538464,0.1044776119402985,0.2801377726750861,81,1,-0.5531668730506525,1.7897465378920934,-0.5531668730506525
y1EHXv8tUTa4BRS4fRio7bULYfA2,35.0,female,19,1.6,5,10,1.3333333333333333,3,6,1.8461538461538463,6,13,0.4583333333333333,0.15789473684210525,0.30043859649122806,101,-1,-0.5531668730506525,-0.671986618316361,0.5531668730506525
yatBVTBMCSMp0wJluOCLzTFKMyP2,35.0,female,21,1.4285714285714286,3,7,2.3333333333333335,4,6,2.6666666666666665,5,9,0.625,0.13636363636363635,0.48863636363636365,91,-1,-0.5531668730506525,0.3127066441670207,0.5531668730506525
