model,r_squared,adj_r_squared,f_value,f_p,n
Model 0: Covariates,0.03334517783867996,-0.02035786783694893,0.6209178160972055,0.5431072393375382,39
Model 1: DASS,0.1415723333425445,0.011507535364142063,1.08847540259166,0.385010581765015,39
Model 2: UCLA,0.15175584311243473,-0.0072899363039837795,0.9541645409847879,0.4712462146834442,39
Model 3: UCLA×Gender,0.16390957331248324,-0.024885039165343237,0.8681898872073704,0.5420386267206462,39
