,UCLA,DASS-Dep,DASS-Anx,DASS-Str,Stroop Interference RT,WCST PE Rate,Stroop Interference RT Slope
UCLA,"[1.00, 1.00]","[0.588, 0.743]","[0.387, 0.598]","[0.428, 0.629]","[-0.129, 0.151]","[-0.252, 0.024]","[0.102, 0.366]"
DASS-Dep,"[0.588, 0.743]","[1.00, 1.00]","[0.565, 0.727]","[0.579, 0.737]","[-0.168, 0.112]","[-0.299, -0.026]","[-0.028, 0.248]"
DASS-Anx,"[0.387, 0.598]","[0.565, 0.727]","[1.00, 1.00]","[0.672, 0.799]","[-0.128, 0.151]","[-0.276, -0.002]","[0.020, 0.293]"
DASS-Str,"[0.428, 0.629]","[0.579, 0.737]","[0.672, 0.799]","[1.00, 1.00]","[-0.134, 0.145]","[-0.280, -0.006]","[-0.003, 0.272]"
Stroop Interference RT,"[-0.129, 0.151]","[-0.168, 0.112]","[-0.128, 0.151]","[-0.134, 0.145]","[1.00, 1.00]","[-0.076, 0.203]","[-0.053, 0.225]"
WCST PE Rate,"[-0.252, 0.024]","[-0.299, -0.026]","[-0.276, -0.002]","[-0.280, -0.006]","[-0.076, 0.203]","[1.00, 1.00]","[-0.126, 0.153]"
Stroop Interference RT Slope,"[0.102, 0.366]","[-0.028, 0.248]","[0.020, 0.293]","[-0.003, 0.272]","[-0.053, 0.225]","[-0.126, 0.153]","[1.00, 1.00]"
