,UCLA,DASS-Dep,DASS-Anx,DASS-Str,Stroop Interference RT,WCST PE Rate,Stroop Interference RT Slope
UCLA,1.0,0.672865688000765,0.49961930735138654,0.5360568907169803,0.011374227502493634,-0.11659790807479689,0.23831679418802498
DASS-Dep,0.672865688000765,1.0,0.6532719430216347,0.6652815894373538,-0.02866550208068102,-0.1656299398353382,0.11191986346954698
DASS-Anx,0.49961930735138654,0.6532719430216347,1.0,0.7421716851190522,0.011556371582254168,-0.14154791459391844,0.15924120050053187
DASS-Str,0.5360568907169803,0.6652815894373538,0.7421716851190522,1.0,0.0056866205913791235,-0.14555999792204963,0.13703903513596521
Stroop Interference RT,0.011374227502493634,-0.02866550208068102,0.011556371582254168,0.0056866205913791235,1.0,0.0648346533654889,0.08770890708672137
WCST PE Rate,-0.11659790807479689,-0.1656299398353382,-0.14154791459391844,-0.14555999792204963,0.0648346533654889,1.0,0.01358106528042394
Stroop Interference RT Slope,0.23831679418802498,0.11191986346954698,0.15924120050053187,0.13703903513596521,0.08770890708672137,0.01358106528042394,1.0
