,UCLA,DASS-Dep,DASS-Anx,DASS-Str,Stroop Interference RT,WCST PE Rate,Stroop Interference RT Slope
UCLA,0.0,2.5064633435100733e-27,7.785483474117766e-14,4.751942876917318e-16,0.873957179709132,0.10274578949379326,0.0007452383308599054
DASS-Dep,2.5064633435100733e-27,0.0,2.3760415704431424e-25,1.5203255069600345e-26,0.6892586882110375,0.02001738048569134,0.11739617169466755
DASS-Anx,7.785483474117766e-14,2.3760415704431424e-25,0.0,9.889721708903355e-36,0.8719559080552922,0.04724717675467689,0.02540979690472291
DASS-Str,4.751942876917318e-16,1.5203255069600345e-26,9.889721708903355e-36,0.0,0.9367874561493578,0.04125944615838422,0.05482463323730612
Stroop Interference RT,0.873957179709132,0.6892586882110375,0.8719559080552922,0.9367874561493578,0.0,0.36538090555600294,0.22035587083319227
WCST PE Rate,0.10274578949379326,0.02001738048569134,0.04724717675467689,0.04125944615838422,0.36538090555600294,0.0,0.8497675605020517
Stroop Interference RT Slope,0.0007452383308599054,0.11739617169466755,0.02540979690472291,0.05482463323730612,0.22035587083319227,0.8497675605020517,0.0
