participant_id,ce_after_congruent,ce_after_incongruent,cse,n_trials
06qcrpGKL6Vc3LVplFQC90VAcRm1,-8.23021978058,120.17748917806966,-128.40770895864966,106
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,-38.910000000013156,154.86069565217167,-193.77069565218483,105
0d841i8KPjdjwCYfDuUUXj0SEjH2,324.7999998728435,272.5097903438382,52.290209529005324,104
0oa5NYVnIBS9NmrmRAZrahXDctP2,-21.843956041958222,-4.686772487939379,-17.157183554018843,103
146QT9LupyU2BAiTsB3PMIpVXM22,55.043650797317014,137.46560846513546,-82.42195766781845,106
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,439.9461538470707,-45.14150197038316,485.0876558174539,106
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,156.4624999910593,225.0024305602742,-68.5399305692149,106
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,194.89090909991228,-223.65670289703905,418.54761199695133,105
23AEyocWhqY955WHbxhHRSgQ1ms2,205.3238095236676,10.031216933456108,195.29259259021148,106
2h5FgHUEvBS1twD5DqbTIRrMm1f2,213.1714285580175,112.384523807537,100.78690475048052,106
2zDXvJKvjeejeOSNbtDbtSI5cdz1,145.56223776205798,147.52699275384657,-1.9647549917885954,107
3WijiOiVCoMbn80F05SPYsxl0TC2,161.00000005298182,42.416908193517656,118.58309185946416,107
3xCaqfcHxRQxuOlEzXz3PNcHODH2,42.20888888604111,82.61092592472278,-40.40203703868167,104
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,391.6878787878985,75.83050000001151,315.857378787887,107
5OOi73igsahMZ5IVKQwwyhnj4Cn2,59.390909090970354,190.3869565217958,-130.99604743082546,106
5rXSa3anB5ejmFrnwUsTB82byup1,17.70833333339806,206.5601851852499,-188.85185185185185,107
5zxa5CMLGQSSonWOXqXf0QNS3PH3,65.10606060967302,140.3605769288081,-75.25451631913506,106
62fAfeQc27bZelkPX7G54T3gvci2,177.7046153847199,207.17600000010975,-29.471384615389866,105
6ABZuv4jbjgE0B8TeyUk6nwVb122,73.52032949112277,139.10296444553626,-65.58263495441349,107
6WFCyGwk71XLPBmbe4Vav3eotVm1,-14.362222115198733,34.770814887152824,-49.13303700235156,107
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,157.20153852426097,105.91433568851096,51.28720283575001,107
80UJMJbCOMgs6YVpsMgXfYTzw6o2,-6.208461538286656,112.70334448165454,-118.9118060199412,107
87w5Le0CgZhSfYAaOH3Xd2fc98l1,-181.4060606063822,253.46775362384847,-434.87381423023066,105
8bwaafIhKVMNBoHaXFcY8HirS9u2,11.753846126836493,57.13630947896411,-45.382463352127616,105
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,269.2125001957543,318.2154764402479,-49.00297624449365,106
8mscvscxtXf7EbbLqCyy4a4pl2q2,74.78205125759791,44.57826086749196,30.20379039010595,107
9Xz1RIwnPXgyRqmucudW9VeuDnq1,50.37777777777387,368.84235294118,-318.46457516340615,102
9l7DjYLs0XdgwykPZR5E01KTZfu2,125.64841269879116,122.53122527915025,3.1171874196409135,104
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,-30.998863604935764,214.2539259250076,-245.25278952994336,107
ASGvwW80q7VY7xFaLGZhVuErUQu2,152.99545466683128,140.08388296763098,12.911571699200294,104
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,123.8542857170105,56.98620689668883,66.86807882032167,106
AsXBOflrszVNKoFqbN61bMJqS0k2,100.35923078702046,70.13616599631405,30.223064790706417,103
AyAnuCaltBbpEYbudoyNzTvXlcC2,240.481818166646,147.3452380906259,93.1365800760201,103
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,122.36166666672796,192.42380952382587,-70.06214285709791,106
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,351.05212119853854,352.2656842096228,-1.2135630110842612,105
CDEoAyvS8feXLKMKsaZah9agEhF3,275.25000000001944,153.41574074073992,121.83425925927952,107
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,569.3363636667077,355.0275000035763,214.30886366313143,106
CUNlBEszJVRGK1jWlTaOaCqpDg53,62.05250000040974,116.44291497950974,-54.3904149791,107
Cbkx2NHyF3NrebzXGqNgSfiWent1,337.0299465227574,132.1267368417665,204.90320968099093,106
Co587hoelyeANqFX7AYvuVQW0lZ2,1.4230769161994203,30.574703561929937,-29.151626645730516,106
CtJe4bZZnYUBNrcPk00d3YQFSGp2,-53.97999999995807,178.3329230768752,-232.31292307683327,107
DAKDKPH698P12JfTbbjemLI6PIH2,65.36730768474251,73.96525975481256,-8.59795207007005,107
DPvStUYSmohmXwFwaKRqHv89R3k1,147.42833333611486,258.75054946006867,-111.32221612395381,104
DaRehVxIOhXtEtUExdgvUl0mKcx2,225.45238094575825,611.5703703761102,-386.11798943035194,106
Df83JuPuJkXqTGbENhM2gw5SJM43,425.92587412589944,418.2929606624863,7.632913463413161,103
