participant_id,time_of_day,pe_rate,n_trials,median_hour,ucla_total,gender_male,z_ucla
GE4hogtdLdTFbNasENgtm6SO3hC3,Evening,4.477611940298507,67,21.0,56.0,0.0,1.1337119363779415
ORvIk1xRWIQmKuLVe6GXNouvAXx2,Afternoon,16.831683168316832,101,16.0,54.0,0.0,0.9742447629093959
80UJMJbCOMgs6YVpsMgXfYTzw6o2,Evening,7.042253521126761,71,20.0,56.0,0.0,1.1337119363779415
rUuJv5gl7dWVo7UPQWMx4bohxhK2,Evening,10.112359550561797,89,21.0,43.0,0.0,0.09717530883239499
xyAILKfYP2M8GqAai11x6NT7IcP2,Morning,9.876543209876543,81,10.0,35.0,1.0,-0.5406933850417875
pcbRW89vVJcviD87V3uxyG4I9st2,Evening,2.8169014084507045,71,19.0,33.0,1.0,-0.7001605585103331
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,Afternoon,6.122448979591836,98,15.0,42.0,0.0,0.017441722098122177
yatBVTBMCSMp0wJluOCLzTFKMyP2,Afternoon,10.989010989010989,91,15.0,35.0,0.0,-0.5406933850417875
u64Uf920g5VD9Byq26LT2rs5o4t1,Afternoon,13.084112149532709,107,16.0,34.0,1.0,-0.6204269717760603
nT1qJOiMyDdJ9ui4el195A8Hsgs1,Afternoon,8.860759493670885,79,15.0,62.0,0.0,1.6121134567835784
2h5FgHUEvBS1twD5DqbTIRrMm1f2,Afternoon,13.131313131313133,99,15.0,65.0,1.0,1.8513142169863968
lpzDdvuMkKWkPxu6xeclmdctEp42,Evening,10.714285714285714,84,23.0,52.0,0.0,0.8147775894408503
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,Afternoon,11.39240506329114,79,13.0,23.0,0.0,-1.4974964258530612
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,Evening,7.894736842105263,76,22.0,57.0,0.0,1.2134455231122143
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,Afternoon,10.144927536231885,69,13.0,64.0,1.0,1.771580630252124
LliUMEIsrCVZ88YFQfevan2Og4z1,Evening,13.402061855670103,97,23.0,28.0,1.0,-1.098828492181697
EUhcW9kURScie1DwGPHqmNqotJB2,Afternoon,32.03125,128,17.0,36.0,0.0,-0.4609597983075147
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,Evening,10.92436974789916,119,21.0,54.0,0.0,0.9742447629093959
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,Afternoon,15.873015873015872,126,16.0,54.0,1.0,0.9742447629093959
wdppvL4tIkVlGjou6aYzzjlaZXB2,Afternoon,23.4375,128,16.0,44.0,1.0,0.1769088955666678
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,Evening,3.125,64,22.0,41.0,0.0,-0.062291864636150635
K26uNuY0VNPjJNF26wEx3bFg0kr2,Evening,10.0,70,23.0,43.0,0.0,0.09717530883239499
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,Evening,16.470588235294116,85,22.0,29.0,0.0,-1.0190949054474243
DPvStUYSmohmXwFwaKRqHv89R3k1,Afternoon,4.761904761904762,63,15.0,52.0,1.0,0.8147775894408503
q0Atnpm0jZS5swcVmq0EMalQUKw1,Afternoon,7.042253521126761,71,15.0,24.0,0.0,-1.4177628391187884
kR2rCtaPyPaj7YMizKUDn5xL2qx1,Afternoon,11.904761904761903,84,15.0,53.0,1.0,0.8945111761751231
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,Afternoon,10.95890410958904,73,16.0,59.0,0.0,1.3729126965807599
mwsliuPsLFhRFjtjQwYkqcCRDvi2,Evening,9.722222222222223,72,20.0,49.0,1.0,0.5755768292380319
iKVZi0Oo96UrMBhPQMHWFcf55uA3,Afternoon,5.88235294117647,68,14.0,33.0,1.0,-0.7001605585103331
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,Afternoon,8.450704225352112,71,16.0,34.0,1.0,-0.6204269717760603
ssPK6ISW0HerTGke9hznqJ2LpKu1,Evening,9.63855421686747,83,18.0,41.0,1.0,-0.062291864636150635
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,Evening,8.860759493670885,79,18.0,40.0,1.0,-0.14202545137042344
5zxa5CMLGQSSonWOXqXf0QNS3PH3,Evening,8.045977011494253,87,21.0,54.0,1.0,0.9742447629093959
h5RYP03wJuVN0xo7qAR8CKFxLaj1,Afternoon,7.936507936507936,126,12.0,29.0,0.0,-1.0190949054474243
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,Afternoon,12.087912087912088,91,17.0,30.0,1.0,-0.9393613187131515
LSLmd8jENtONZFVkIpRDX665Bu73,Evening,10.975609756097562,82,22.0,20.0,0.0,-1.7366971860558797
mUZzgdWKnPb2txOkJg9FHgqX5792,Afternoon,14.953271028037381,107,15.0,33.0,0.0,-0.7001605585103331
WbOfW9KmUkPQK8o5hlHJnJFdpp92,Afternoon,6.122448979591836,98,15.0,22.0,1.0,-1.577230012587334
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,Afternoon,8.333333333333332,72,16.0,32.0,0.0,-0.779894145244606
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,Evening,8.536585365853659,82,20.0,50.0,0.0,0.6553104159723047
fEq0OghbLpfD1jigl1Mbz96aMbg2,Evening,21.59090909090909,88,18.0,31.0,0.0,-0.8596277319788788
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,Evening,8.108108108108109,74,19.0,49.0,1.0,0.5755768292380319
cEIs6U87xfbSL5eFTXDK77MmvNf1,Evening,10.679611650485436,103,20.0,62.0,1.0,1.6121134567835784
AsXBOflrszVNKoFqbN61bMJqS0k2,Morning,18.095238095238095,105,10.0,42.0,0.0,0.017441722098122177
Fz7EUjZCLuUBxLDUVtN6djaBTy42,Afternoon,11.904761904761903,84,12.0,49.0,1.0,0.5755768292380319
DzB19GqCB7fyrlEPexogWkjFzEx2,Evening,10.126582278481013,79,18.0,25.0,0.0,-1.3380292523845156
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,Afternoon,6.8181818181818175,88,15.0,49.0,0.0,0.5755768292380319
xBGZhFOeypWnqzSQClkrwV9z2vF3,Afternoon,10.256410256410255,78,15.0,43.0,1.0,0.09717530883239499
y1EHXv8tUTa4BRS4fRio7bULYfA2,Afternoon,15.841584158415841,101,13.0,35.0,0.0,-0.5406933850417875
HyQM2xKwwuVfqidmRYF6TiRk90C2,Afternoon,8.433734939759036,83,14.0,21.0,1.0,-1.6569635993216068
roaf78tUWxWSEjAUcUu8O7mrQbl1,Afternoon,11.538461538461538,78,14.0,58.0,0.0,1.293179109846487
Rc706mP0TSeIoIpMYH1SpRXjOxA2,Afternoon,1.639344262295082,61,16.0,46.0,0.0,0.33637606903521344
i1tBstVkNiVP0qro7TgGD08IGGa2,Evening,10.0,80,18.0,26.0,0.0,-1.2582956656502429
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,Evening,5.555555555555555,72,23.0,60.0,0.0,1.4526462833150329
iWsc4pghIEWOQUZKuQJMfe516UI3,Evening,7.5,80,18.0,27.0,1.0,-1.17856207891597
WcTsIpSoEhYeIBSNjAbbdaNSBya2,Morning,13.829787234042554,94,11.0,30.0,0.0,-0.9393613187131515
mg2WZiRBn4NQDKiMK43Y8dBqyG53,Afternoon,9.523809523809524,126,14.0,54.0,0.0,0.9742447629093959
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,Evening,10.638297872340425,94,20.0,25.0,0.0,-1.3380292523845156
CtJe4bZZnYUBNrcPk00d3YQFSGp2,Evening,13.750000000000002,80,21.0,45.0,0.0,0.2566424823009406
CDEoAyvS8feXLKMKsaZah9agEhF3,Morning,8.823529411764707,68,10.0,33.0,0.0,-0.7001605585103331
GDZGRW51kbWtAdUIHCtEd8sAtqY2,Afternoon,12.048192771084338,83,12.0,26.0,0.0,-1.2582956656502429
QreA2rLiUhV3YHeMfuHMPdGbpJ53,Afternoon,11.578947368421053,95,15.0,44.0,0.0,0.1769088955666678
AyAnuCaltBbpEYbudoyNzTvXlcC2,Evening,11.607142857142858,112,21.0,62.0,0.0,1.6121134567835784
jzdk8E3tVXTXIozlfK5oeEb7wWp2,Afternoon,10.256410256410255,78,16.0,37.0,1.0,-0.3812262115732419
