phase,n,r,spearman_brown
exploration,183,0.18619968440222148,0.313943237130527
confirmation,210,0.5320662477623779,0.6945734214032511
exploitation,209,0.6925600054072545,0.8183579940382847
pre_exploitation,210,0.5416631274866045,0.7026997245107439
