method,n,r,r_sb,n_perm,r_ci_low,r_ci_high
odd_even,212,0.4608951884203559,0.6309763932054769,,,
perm_mean,212,0.3968499598554281,0.5682069961136005,500.0,0.3083079299924976,0.48107470541536074
