segment,cond,count,total_segment,proportion
1,congruent,1301,3816,0.3409329140461216
1,incongruent,1252,3816,0.3280922431865828
1,neutral,1263,3816,0.3309748427672956
2,congruent,1225,3816,0.3210167714884696
2,incongruent,1323,3816,0.3466981132075472
2,neutral,1268,3816,0.33228511530398325
3,congruent,1255,3816,0.32887840670859536
3,incongruent,1240,3816,0.3249475890985325
3,neutral,1321,3816,0.34617400419287214
4,congruent,1257,3816,0.32940251572327045
4,incongruent,1291,3816,0.33831236897274636
4,neutral,1268,3816,0.33228511530398325
5,congruent,1316,3816,0.3448637316561845
5,incongruent,1250,3816,0.3275681341719078
5,neutral,1250,3816,0.3275681341719078
6,congruent,1278,3816,0.33490566037735847
6,incongruent,1276,3816,0.33438155136268344
6,neutral,1262,3816,0.3307127882599581
