phase,n,r,spearman_brown
exploration,183,0.18619968440222148,0.313943237130527
confirmation,210,0.6098304795196967,0.7576331635883097
exploitation,209,0.6710497840100541,0.8031475667944751
pre_exploitation,210,0.6454922517512116,0.7845582391096012
