segment,cond,count,total_segment,proportion
1,congruent,3781,11448,0.3302760307477289
1,incongruent,3815,11448,0.3332459818308875
1,neutral,3852,11448,0.33647798742138363
2,congruent,3851,11448,0.3363906359189378
2,incongruent,3817,11448,0.3334206848357792
2,neutral,3780,11448,0.330188679245283
