Class,N,UCLA_beta,UCLA_p,Gender_beta,Gender_p,Interaction_beta,Interaction_p,R_squared
1,45,-0.6441299432241842,0.3463438465828066,,,,,0.3469403038414651
2,129,-0.15950597702497127,0.8551629730584472,,,,,0.053919106708872344
