Class,N,UCLA_beta,UCLA_p,Gender_beta,Gender_p,Interaction_beta,Interaction_p,R_squared
1,81,-0.5210186759827583,0.9715220846679313,-6.679501114765207,0.7874105856180758,-9.571100745064136,0.7445990526835744,0.19183797112826373
2,65,16.46653778238081,0.021651789432268764,42.501508920412974,1.467956306054138e-05,-22.284078331410523,0.012426952743295725,0.6274838178376551
3,47,-30.460579732241158,0.1429977120013367,43.826909751122486,0.10765189659770692,75.32802799969079,0.001210139767422762,0.27684141981840504
4,24,19.291608084097362,2.1450477373238742e-214,-12.566712739938964,9.244688045998902e-204,0.7296313182965832,3.0577694100291163e-186,1.0
