Class,N,UCLA_beta,UCLA_p,Gender_beta,Gender_p,Interaction_beta,Interaction_p,R_squared
2,105,0.05865692934517846,0.0007377621093172849,-0.048084850760577516,0.016365978520133308,-0.0020925411003008642,0.90744770512593,0.30209632465115066
4,81,-0.02957816455041169,0.003404740383308417,-0.01872661038225441,0.1317439223479879,0.008244276287395068,0.6908088747655012,0.15616407419727774
