Outcome,r,R2_Step1,R2_Step2,b,SE,beta,p,Delta_R2,F_change,r_fmt,R2_Step1_fmt,R2_Step2_fmt,b_fmt,SE_fmt,beta_fmt,p_fmt,Delta_R2_fmt,F_change_fmt
Stroop Interference RT,0.0133671051759041,0.0111075020677586,0.0157540883328146,4.800026433809848,9.913276423798475,0.04603729740510923,0.6287595313922004,0.0011243620539491,0.2344513973376602,0.013,0.011,0.016,4.80,9.91,0.05,0.629,0.001,0.23
Interference RT slope,0.2524371607862727,0.0085865505690522,0.0329996493777886,22.533464428959952,5.781050339177162,0.3546414933186456,0.0001314530326106,0.0667214741174856,15.192961371245444,0.252,0.009,0.033,22.53,5.78,0.35,< .001,0.067,15.19
WCST PE rate,-0.1125489234791619,0.0020703080001639,0.0288881482751361,-0.1649078845364781,0.5762316075628702,-0.027037842543980974,0.775026699937055,0.0003878203625328,0.0819009025743861,-0.113,0.002,0.029,-0.16,0.58,-0.03,0.775,0.000,0.08
Confirmation RT,0.1451710895816396,0.0200864361415699,0.0247012906828361,135.64480508844144,52.71998839395231,0.2398143107041806,0.0107905136836794,0.0305096152000086,6.619965402803644,0.145,0.020,0.025,135.64,52.72,0.24,0.011,0.031,6.62
Exploitation RT,0.0920391406728898,0.0576728044587065,0.0729144162447751,33.186845543692144,37.01768798786037,0.08261267806115659,0.3710303069151237,0.003620594944991,0.8037358998086183,0.092,0.058,0.073,33.19,37.02,0.08,0.371,0.004,0.80
Confirm-Exploit,0.1051130503116454,0.0058494101939294,0.0099054120337312,102.45795954474912,40.34447806166202,0.23859063183317505,0.011840113995291,0.0301990522396288,6.449457757335522,0.105,0.006,0.010,102.46,40.34,0.24,0.012,0.030,6.45
