,UCLA,DASS-Dep,DASS-Anx,DASS-Str,Stroop Interference RT,Stroop Interference RT Slope,WCST PE Rate
UCLA,,,,,,,
DASS-Dep,0.673***,,,,,,
DASS-Anx,0.500***,0.653***,,,,,
DASS-Str,0.536***,0.665***,0.742***,,,,
Stroop Interference RT,0.011,-0.029,0.012,0.006,,,
Stroop Interference RT Slope,0.238***,0.112,0.159*,0.137,0.088,,
WCST PE Rate,-0.117,-0.166*,-0.142*,-0.146*,0.065,0.014,
