Measure,Column,Total_M,Total_SD,Total_MSD,Male_M,Male_SD,Male_MSD,Female_M,Female_SD,Female_MSD,Alpha
Age (years),age,20.37055837563452,3.4625910719465387,20.37 (3.46),21.06410256410257,2.1218696949461817,21.06 (2.12),19.915966386554626,4.055922290426581,19.92 (4.06),
UCLA Loneliness,ucla_score,40.53299492385787,11.065905427186854,40.53 (11.07),38.3974358974359,11.656712846208162,38.40 (11.66),41.9327731092437,10.475743646947404,41.93 (10.48),0.9365772756532145
DASS-21 Depression,dass_depression,7.543147208121828,7.967690895598991,7.54 (7.97),6.333333333333333,8.099489588963715,6.33 (8.10),8.336134453781513,7.812720300269527,8.34 (7.81),0.8803667900323973
DASS-21 Anxiety,dass_anxiety,5.563451776649746,5.944666986086669,5.56 (5.94),4.846153846153846,6.337021552578322,4.85 (6.34),6.033613445378151,5.6507578209479234,6.03 (5.65),0.7973996075764327
DASS-21 Stress,dass_stress,10.060913705583756,7.647618355267306,10.06 (7.65),9.256410256410255,8.343962585109765,9.26 (8.34),10.588235294117649,7.141917043960366,10.59 (7.14),0.8377154604894143
