outcome,label,n_low,n_high,low_mean,low_sd,high_mean,high_sd,beta,se,t,p,cohens_d,p_fdr
wcst_accuracy,WCST Accuracy (%),30,27,82.43205027507861,6.929536583255427,84.78201247793385,8.68335036119602,5.782700583200628,4.710176014689921,1.2277037132297728,0.21955821201966808,0.7735644630972515,0.958127904434406
pe_rate,Perseverative Error Rate (%),30,27,11.057564681021232,4.543525407819179,8.8869745434954,2.9716387804642883,-2.2336476413050974,2.1828347575819897,-1.023278392258787,0.30617623714999376,-0.5881766329638147,0.958127904434406
pe_count,Perseverative Error Count,30,27,10.166666666666666,5.860936334123045,7.62962962962963,3.6495326165261655,-3.156456658625711,2.8272590838589644,-1.1164370031194382,0.2642351217973914,-0.6611076745078376,0.958127904434406
wcst_mean_rt,WCST Mean RT (ms),30,27,1494.2516539040632,243.10169760845375,1574.6989259326217,291.15332442065073,85.32766432949387,151.0465449981941,0.5649097391172638,0.5721351590215873,0.3354310841346653,0.958127904434406
wcst_sd_rt,WCST RT Variability (SD),30,27,688.0829542627831,133.72101254826757,709.8055564001728,174.85301162127817,-7.967083037246964,71.47715278880125,-0.11146335194391256,0.9112489253765995,-0.05628039321151052,0.958127904434406
stroop_interference,Stroop Interference (ms),30,27,137.61731012810702,113.03430310050965,131.24246600967518,88.32212376701654,12.786885044793644,47.26261352215485,0.2705496817013654,0.7867374009524025,0.1305682108394456,0.958127904434406
accuracy_incongruent,Stroop Accuracy Incongruent,30,27,0.9703703703703702,0.03568741513842237,0.9722222222222221,0.03530493940568016,-0.003674521886923036,0.018484934584532438,-0.19878468436657332,0.8424311770091799,-0.10544516260184436,0.958127904434406
accuracy_congruent,Stroop Accuracy Congruent,30,27,0.9925925925925925,0.019208105757875585,0.9938271604938272,0.01176831313522672,-0.0055205788647235,0.006342736798499786,-0.8703780465916943,0.3840938399321442,-0.3541904221896538,0.958127904434406
rt_mean_incongruent,Stroop RT Incongruent (ms),30,27,994.6911557195427,234.64093074025652,984.7326159188752,202.74099837446462,7.732573749789268,122.04683960123151,0.0633574271570998,0.949481887312605,0.03640779722362369,0.958127904434406
rt_mean_congruent,Stroop RT Congruent (ms),30,27,857.0738455914354,193.5400326712242,853.4901499092001,168.76054342634743,-5.0543112950044815,96.26709386447139,-0.052503000683911165,0.958127904434406,-0.02858427363865117,0.958127904434406
prp_bottleneck,PRP Bottleneck (ms),29,26,561.9765313869265,152.52224829836877,573.9880615781993,116.444241817768,-50.38395344563758,60.12440833789287,-0.8379949980128709,0.4020335127667972,-0.41137844311901084,0.958127904434406
t2_rt_mean_short,PRP T2 RT Short SOA (ms),29,26,1232.9341425605962,262.90417932974304,1275.959968025179,253.0468289715657,-23.121905002414195,125.83938132956585,-0.18374140716616605,0.854216323664635,-0.0927855512410533,0.958127904434406
t2_rt_mean_long,PRP T2 RT Long SOA (ms),29,26,670.9576111736698,183.67017234984465,701.9719064469798,205.81462709529745,27.262048443223705,89.1493879296486,0.30580185771704116,0.7597555139355106,0.14411556884904422,0.958127904434406
t2_rt_sd_short,PRP T2 RT SD Short SOA,29,26,391.55428996471824,123.27740396833755,417.3917009475793,119.56886691809011,48.564619783667254,53.74232624965802,0.9036568227073403,0.3661774007090788,0.4135612823793703,0.958127904434406
t2_rt_sd_long,PRP T2 RT SD Long SOA,29,26,240.16489012419805,114.1432057465842,251.21727372209142,115.16244401762636,-9.64436498289486,49.690425751411375,-0.19408899877701144,0.8461061955404747,-0.08543802144010429,0.958127904434406
