,pe_rate,stroop_interference,prp_bottleneck
dass_depression,-0.16259436334278618,-0.07871477942887666,-0.0017073122446335065
dass_anxiety,-0.1210095113023844,-0.009995134531311109,0.029985586441500133
dass_stress,-0.12370226954456146,-0.029861404596399542,0.013368555768121255
