outcome,n,ucla_beta,ucla_p,interaction_beta,interaction_p
Facilitation,170,13.582127050045248,0.07830206559878468,-9.946033870459917,0.3635271185266219
Interference,170,-8.91815091458597,0.4692095586034427,21.123522596347826,0.149745886871786
Traditional Stroop,170,4.663976135459284,0.7212332996645396,11.177488725887912,0.49607954511912766
