,UCLA,DASS-Dep,DASS-Anx,DASS-Str,Stroop Int
UCLA,"[1.00, 1.00]","[0.595, 0.741]","[0.397, 0.596]","[0.454, 0.639]","[-0.118, 0.147]"
DASS-Dep,"[0.595, 0.741]","[1.00, 1.00]","[0.580, 0.730]","[0.593, 0.739]","[-0.163, 0.101]"
DASS-Anx,"[0.397, 0.596]","[0.580, 0.730]","[1.00, 1.00]","[0.680, 0.799]","[-0.122, 0.144]"
DASS-Str,"[0.454, 0.639]","[0.593, 0.739]","[0.680, 0.799]","[1.00, 1.00]","[-0.124, 0.141]"
Stroop Int,"[-0.118, 0.147]","[-0.163, 0.101]","[-0.122, 0.144]","[-0.124, 0.141]","[1.00, 1.00]"
