,UCLA,DASS-Dep,DASS-Anx,DASS-Str,Stroop Int
UCLA,0.0,1.8995543883704703e-30,1.8580432626928334e-15,6.241652722709349e-19,0.8593331882597529
DASS-Dep,1.8995543883704703e-30,0.0,6.250992329804996e-29,3.2762613515557984e-30,0.5576131542674959
DASS-Anx,1.8580432626928334e-15,6.250992329804996e-29,0.0,4.252699438444419e-40,0.8868780019549124
DASS-Str,6.241652722709349e-19,3.2762613515557984e-30,4.252699438444419e-40,0.0,0.9908814206436672
Stroop Int,0.8593331882597529,0.5576131542674959,0.8868780019549124,0.9908814206436672,0.0
