outcome,outcome_column,n,quantile,intercept,z_age,gender_male,z_dass_depression,z_dass_anxiety,z_dass_stress,z_ucla_score,ucla_x_gender
Stroop Accuracy (Neutral),accuracy_neutral,219,0.1,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Accuracy (Neutral),accuracy_neutral,219,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Accuracy (Neutral),accuracy_neutral,219,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Accuracy (Neutral),accuracy_neutral,219,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Accuracy (Neutral),accuracy_neutral,219,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Post-Error Slowing (ms),stroop_post_error_slowing,135,0.1,-30.605444553251584,-29.987179873157885,47.82348804011842,29.173023317919395,-5.557188960117074,-39.90016798360709,-31.420393961812067,60.41956163955793
Stroop Post-Error Slowing (ms),stroop_post_error_slowing,135,0.3,113.4562100008622,-4.294598214356839,-24.907175051735443,-7.885893968483635,2.858265384765766,-26.605524962442978,35.80311108152004,-4.602391943598414
Stroop Post-Error Slowing (ms),stroop_post_error_slowing,135,0.5,288.524445357734,16.13325354383483,-88.88271406233103,9.70227302306506,56.20688620772962,-122.10662325880364,17.307303075092925,18.039014760870028
Stroop Post-Error Slowing (ms),stroop_post_error_slowing,135,0.7,487.735046258559,99.06761107788893,-84.67911663060609,37.21795934136652,7.584895621296898,-128.87484412609177,42.85406323086976,-42.37486894474596
Stroop Post-Error Slowing (ms),stroop_post_error_slowing,135,0.9,823.9194903676027,17.146252769890364,-94.4976330750365,-85.49901463770917,54.28722331927857,-174.79092943485142,112.6266536145301,114.30418057746938
Stroop Post-Error RT (ms),stroop_post_error_rt,135,0.1,806.6530318420297,-7.523637347265269,-99.18725615525685,27.85706454581561,-56.0427918558788,-17.694555501757822,-27.44557605284757,123.92753335861448
Stroop Post-Error RT (ms),stroop_post_error_rt,135,0.3,956.2660780659996,3.580404748695406,-44.9274156002502,-15.351158926889,28.8032167397558,-39.37697635986388,-9.465537202744658,85.19022654061986
