,UCLA,DASS-Dep,DASS-Anx,DASS-Str,Stroop Int
UCLA,1.0,0.6747263562025295,0.5031808703468409,0.5528847662921363,0.012214380052895317
DASS-Dep,0.6747263562025295,1.0,0.6614607257318056,0.6727012316258093,-0.040525087963432724
DASS-Anx,0.5031808703468409,0.6614607257318056,1.0,0.7454745173399852,0.009199023014644831
DASS-Str,0.5528847662921363,0.6727012316258093,0.7454745173399852,1.0,0.0004925261570736179
Stroop Int,0.012214380052895317,-0.040525087963432724,0.009199023014644831,0.0004925261570736179,1.0
