,UCLA,DASS-Dep,DASS-Anx,DASS-Str,Stroop Int
UCLA,0.0,1.8995543883704703e-30,1.8580432626928334e-15,6.241652722709349e-19,0.8573656484103102
DASS-Dep,1.8995543883704703e-30,0.0,6.250992329804996e-29,3.2762613515557984e-30,0.5508214888638121
DASS-Anx,1.8580432626928334e-15,6.250992329804996e-29,0.0,4.252699438444419e-40,0.892329692616937
DASS-Str,6.241652722709349e-19,3.2762613515557984e-30,4.252699438444419e-40,0.0,0.99421777328673
Stroop Int,0.8573656484103102,0.5508214888638121,0.892329692616937,0.99421777328673,0.0
