,UCLA,DASS-Dep,DASS-Anx,DASS-Str,Stroop Int
UCLA,"[1.00, 1.00]","[0.595, 0.741]","[0.397, 0.596]","[0.454, 0.639]","[-0.121, 0.145]"
DASS-Dep,"[0.595, 0.741]","[1.00, 1.00]","[0.580, 0.730]","[0.593, 0.739]","[-0.172, 0.093]"
DASS-Anx,"[0.397, 0.596]","[0.580, 0.730]","[1.00, 1.00]","[0.680, 0.799]","[-0.124, 0.142]"
DASS-Str,"[0.454, 0.639]","[0.593, 0.739]","[0.680, 0.799]","[1.00, 1.00]","[-0.132, 0.133]"
Stroop Int,"[-0.121, 0.145]","[-0.172, 0.093]","[-0.124, 0.142]","[-0.132, 0.133]","[1.00, 1.00]"
