task,metric,female_beta,female_p,male_beta,male_p,interaction_beta,interaction_p,female_vulnerable,male_vulnerable
WCST_PE,pe_rate,-1.219274953677298,0.09891774990575258,0.9435742724605661,0.22682216961576251,2.1628492261378622,0.058517933810440535,False,False
WCST_Accuracy,wcst_accuracy,2.184372855381967,0.05021392326325946,-1.1752715561043503,0.5616079102476201,-3.3596444114863235,0.11269932589481355,False,False
Stroop_Interference,stroop_interference,-1.3611515659916091,0.9282692774395928,10.914878324753452,0.5694592217653992,12.276029890745038,0.6200817280004062,False,False
Stroop_Incong_Acc,stroop_incong_acc,-0.34679033860785013,0.425379389384259,-0.21241739587369945,0.75837901570897,0.13437294273414224,0.8624729161539234,False,False
PRP_Bottleneck,prp_bottleneck,-12.737248258456722,0.5236309209659278,49.40398714375718,0.0913463114104097,62.14123540221384,0.07143024635052107,False,False
